,Unnamed: 0,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_loss_2,client_loss_0,client_loss_1,client_loss_4,client_loss_3,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch1,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_loss_per_epoch2,client_loss_per_epoch0,client_loss_per_epoch1,client_loss_per_epoch4,client_loss_per_epoch3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_layer_leakage_2,client_layer_leakage_0,client_layer_leakage_1,client_layer_leakage_4,client_layer_leakage_3,server_layer_leakage,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,0,15.048641668526122,13.538509737145041,22.372700140176228,27.602424875761642,20.189233551723483,2.0458858151184884,2.027569862415916,2.077296987332796,2.045591370682968,1.9883625068162616,"[31.333333333333336, 32.0, 31.333333333333336, 27.333333333333332, 25.826666666666664]","[34.66666666666667, 34.66666666666667, 34.66666666666667, 34.66666666666667, 22.373333333333335]","[27.333333333333332, 27.333333333333332, 27.333333333333332, 27.333333333333332, 30.599999999999998]","[34.0, 20.666666666666668, 22.0, 34.0, 35.85333333333333]","[24.666666666666668, 29.333333333333332, 29.333333333333332, 20.666666666666668, 30.599999999999998]","[2.2446606159210205, 2.012430925118296, 2.005802367862902, 1.9910040780117637, 1.9755310886784603]","[2.231914915536579, 1.9924981029410112, 1.9901037467153448, 1.9617544977288497, 1.9615780491577952]","[2.3084537481006824, 2.079293884729084, 2.0337958084909538, 1.9932546176408465, 1.971686877702412]","[2.308945756209524, 2.0003336103338945, 1.9922030662235461, 1.96169712668971, 1.964777293958162]","[2.2440928283490633, 1.9338144440399974, 1.930565871690449, 1.9100889092997502, 1.923250480702049]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3348,0.0,{},{},{},{},{},{},15.936084747314451,15.33551573753357,15.567917108535768,15.209146738052368,15.767225980758669,0,0,0,0,0,0,0,0,0,0,0.4199824333190918,,,0
1,1,30.478641668526123,35.21850973714504,32.826033473509554,36.342424875761644,31.042566885056814,1.987897717325311,1.940985658294276,1.9519701731832408,1.9554402991345052,1.91795344854656,"[36.666666666666664, 38.666666666666664, 39.33333333333333, 43.333333333333336, 41.266666666666666]","[38.666666666666664, 38.0, 40.0, 36.666666666666664, 44.053333333333335]","[22.0, 32.666666666666664, 37.333333333333336, 29.333333333333332, 41.05333333333333]","[30.666666666666664, 30.666666666666664, 32.666666666666664, 40.666666666666664, 44.693333333333335]","[33.33333333333333, 37.333333333333336, 38.0, 38.666666666666664, 41.45333333333333]","[2.0412512829429224, 1.97181404891767, 2.013273465005975, 1.9881363416972913, 1.925013448062696]","[1.9878244839216535, 1.985925931679575, 1.9245153916509528, 1.9347660729759617, 1.871896411243238]","[2.001937332906221, 1.9675383065876209, 1.9388362169265747, 1.935680671742088, 1.9158583377536975]","[1.989921343953986, 2.0060247371071265, 1.9551142830597728, 1.910301879832619, 1.915839251719023]","[1.975242112812243, 1.884223367038526, 1.887016867336474, 1.9535150214245445, 1.8897698741210134]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4235,0.0,{},{},{},{},{},{},15.791481733322144,15.12231731414795,16.694339990615845,15.53290629386902,15.860690593719482,0,0,0,0,0,0,0,0,0,0,0.4293537139892578,,,0
2,2,39.07864166852613,40.445176403811715,39.61270014017623,41.92242487576165,39.49478910727904,1.8376601194080555,1.8123700054068317,1.8584875508358607,1.815828427515532,1.8106804069719815,"[35.333333333333336, 40.0, 46.0, 44.0, 49.86666666666667]","[41.333333333333336, 47.333333333333336, 44.0, 44.666666666666664, 49.28]","[45.33333333333333, 49.333333333333336, 53.333333333333336, 49.333333333333336, 47.839999999999996]","[37.333333333333336, 38.666666666666664, 42.0, 44.0, 50.17333333333334]","[44.666666666666664, 44.666666666666664, 45.33333333333333, 48.66666666666667, 49.906666666666666]","[2.0043545145737496, 1.8359405304256238, 1.7961812897732383, 1.8086047172546387, 1.7432195450130261]","[1.946041370693006, 1.8314461582585384, 1.7875890229877673, 1.7152577826851292, 1.7815156924097162]","[1.942314022465756, 1.8870810144825985, 1.8072109787087691, 1.796562947724995, 1.8592687907971834]","[1.9275008126309043, 1.866921023318642, 1.7736695753900629, 1.7597471099150808, 1.7513036163229692]","[1.957032925204227, 1.7875049490677684, 1.8359479904174805, 1.7218731892736334, 1.751042980896799]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511,0.0,{},{},{},{},{},{},15.3515362739563,15.31018853187561,15.991743803024292,16.17590022087097,15.727086544036863,0,0,0,0,0,0,0,0,0,0,0.4215896129608154,,,0
3,3,40.40864166852613,42.25850973714503,43.558255695731795,41.73464709798387,41.402566885056814,1.7938879954187494,1.6946501832259329,1.7410367388474313,1.7194198445269937,1.6570886436261631,"[50.66666666666667, 53.333333333333336, 56.00000000000001, 54.666666666666664, 51.18666666666667]","[43.333333333333336, 45.33333333333333, 48.0, 47.333333333333336, 51.093333333333334]","[52.0, 51.33333333333333, 51.33333333333333, 50.66666666666667, 51.78666666666667]","[54.0, 52.0, 54.0, 49.333333333333336, 49.986666666666665]","[46.666666666666664, 46.666666666666664, 47.333333333333336, 44.0, 51.81333333333333]","[1.9196998006419133, 1.7428064785505597, 1.8335156189767938, 1.736949230495252, 1.736468848429228]","[1.8127654226202714, 1.7259623690655357, 1.7421605524263883, 1.5706412729464079, 1.621721299071061]","[1.8878881931304932, 1.7049935052269383, 1.7747215220802708, 1.6751227253361751, 1.6624577484632794]","[1.8743274651075665, 1.7037994547894126, 1.66916350941909, 1.7026164029773914, 1.6471923903415078]","[1.7647186015781604, 1.7150792197177285, 1.582761093189842, 1.6774768076444928, 1.545407496000591]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5297,0.0,{},{},{},{},{},{},15.54986572265625,16.66370415687561,15.549525022506714,15.694548845291138,15.32073140144348,0,0,0,0,0,0,0,0,0,0,0.5349280834197998,,,0
4,4,42.40864166852613,41.665176403811714,43.82825569573178,44.49464709798386,43.109233551723484,1.664559504860326,1.6180630583512154,1.7021073517046474,1.6486132973118832,1.6655586907738134,"[50.66666666666667, 56.00000000000001, 54.0, 48.66666666666667, 53.18666666666667]","[48.0, 51.33333333333333, 50.66666666666667, 50.66666666666667, 50.6]","[46.0, 46.0, 47.333333333333336, 49.333333333333336, 54.06666666666666]","[48.0, 54.0, 57.99999999999999, 54.666666666666664, 52.74666666666666]","[57.333333333333336, 56.666666666666664, 57.99999999999999, 60.66666666666667, 53.52]","[1.8074679374694824, 1.7093083042847483, 1.6132882519772178, 1.6156572040758634, 1.5770758264943172]","[1.8136436123596995, 1.6260485209916766, 1.5363546421653347, 1.627314435808282, 1.4869540804310848]","[1.8331209734866494, 1.6873238400409096, 1.7681631100805182, 1.5984090441151668, 1.6235197907999943]","[1.7622306660601967, 1.7244070517389398, 1.654622899858575, 1.5864939815119694, 1.515311887389735]","[1.8306727911296643, 1.6240547456239398, 1.6848578892256085, 1.625031734767713, 1.563176293122141]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542,0.0,{},{},{},{},{},{},15.833690881729126,15.812151432037354,15.84602189064026,15.981746673583984,15.896237134933472,0,0,0,0,0,0,0,0,0,0,0.514453649520874,,,0
5,5,42.20864166852612,43.51073195936726,47.36603347350955,37.62909154242831,43.56256688505681,1.6037179808867603,1.5632700330332705,1.5737953349163658,1.6353386571532802,1.5841432107122322,"[50.0, 46.0, 48.66666666666667, 52.0, 54.986666666666665]","[60.66666666666667, 54.0, 54.666666666666664, 57.99999999999999, 55.346666666666664]","[46.666666666666664, 49.333333333333336, 50.0, 51.33333333333333, 56.69333333333333]","[50.66666666666667, 48.66666666666667, 50.66666666666667, 50.66666666666667, 45.879999999999995]","[56.666666666666664, 55.333333333333336, 53.333333333333336, 60.66666666666667, 53.97333333333333]","[1.7694602514568127, 1.6673586180335598, 1.496200862683748, 1.5899454292498136, 1.4956247430098684]","[1.6704879497226917, 1.613807333143134, 1.5823599413821572, 1.4949676425833451, 1.4547272983350252]","[1.719071338051244, 1.5900548822001408, 1.583251758625633, 1.5014828757235879, 1.4751158199812238]","[1.8053284946240877, 1.5913963819804944, 1.574983559156719, 1.5992366765674793, 1.6057481734376204]","[1.7656637116482383, 1.554002924969322, 1.564414962341911, 1.4998049641910352, 1.536829490410654]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5734,0.0,{},{},{},{},{},{},15.65607523918152,15.60448431968689,15.95174264907837,15.890856504440308,15.864950895309448,0,0,0,0,0,0,0,0,0,0,0.5296320915222168,,,0
6,6,42.64864166852613,43.72073195936726,47.02825569573179,44.24909154242832,45.52256688505682,1.552155830358204,1.5180737859324407,1.544225203363519,1.5476681809676325,1.529233910535511,"[46.666666666666664, 52.0, 52.0, 48.66666666666667, 53.42666666666667]","[51.33333333333333, 52.666666666666664, 56.666666666666664, 57.99999999999999, 54.666666666666664]","[46.666666666666664, 42.66666666666667, 52.666666666666664, 49.333333333333336, 56.266666666666666]","[49.333333333333336, 46.666666666666664, 56.666666666666664, 54.666666666666664, 55.60000000000001]","[59.333333333333336, 60.66666666666667, 56.666666666666664, 57.99999999999999, 56.93333333333334]","[1.747049237552442, 1.5186995456093235, 1.5165713147113198, 1.524627033032869, 1.453832020885066]","[1.7654638039438348, 1.4801034048983925, 1.5145458422209088, 1.3940026697359587, 1.4362532088631077]","[1.7072253603684275, 1.5864955249585604, 1.4838240993650336, 1.4209101607925014, 1.522670871333072]","[1.687380364066676, 1.5557193128686202, 1.554412697490893, 1.470473565553364, 1.4703549648586072]","[1.7352125581942106, 1.5306480746520192, 1.4957950930846364, 1.483070288833819, 1.4014435379128707]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5792,0.0,{},{},{},{},{},{},16.35556721687317,15.906309366226196,15.387908935546877,15.885113716125488,15.918553590774536,0,0,0,0,0,0,0,0,0,0,0.5358903408050537,,,0
7,7,41.676419446303896,43.61850973714505,44.35825569573178,43.77464709798388,42.57478910727904,1.5605275342338962,1.4718469048801222,1.5549634544472943,1.4799995823910364,1.4408155660880235,"[56.00000000000001, 56.666666666666664, 54.666666666666664, 61.33333333333333, 55.45333333333333]","[57.99999999999999, 60.0, 56.666666666666664, 57.99999999999999, 57.45333333333333]","[62.0, 60.0, 62.66666666666667, 65.33333333333333, 55.58666666666666]","[52.666666666666664, 53.333333333333336, 54.666666666666664, 50.0, 54.02666666666667]","[52.666666666666664, 54.666666666666664, 54.0, 54.666666666666664, 55.986666666666665]","[1.6855017950660305, 1.5738410635998374, 1.5386345951180709, 1.548321102794848, 1.456339114590695]","[1.615440713731866, 1.5035758708652698, 1.4323753055773283, 1.3796931662057574, 1.428149468020389]","[1.6666899668542963, 1.6022499423278005, 1.514709102480035, 1.532150764214365, 1.4590174963599758]","[1.6161962747573853, 1.4430500770870007, 1.4852064722462703, 1.4164767390803288, 1.4390683487841958]","[1.5799581377129805, 1.4517717581046254, 1.412123940492931, 1.3906764858647396, 1.3695475082648427]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5956,0.0,{},{},{},{},{},{},16.152585983276367,16.347907066345215,15.653653144836426,15.9820454120636,16.20763087272644,0,0,0,0,0,0,0,0,0,0,0.5324149131774902,,,0
8,8,41.64864166852613,46.350731959367266,50.598255695731794,44.189091542428315,45.134789107279055,1.5008885138913204,1.4661267029611686,1.4387399974622226,1.4133833960482949,1.393195893889979,"[57.333333333333336, 60.0, 62.66666666666667, 57.333333333333336, 57.42666666666667]","[64.66666666666666, 66.0, 63.33333333333333, 68.66666666666667, 56.18666666666666]","[57.99999999999999, 58.666666666666664, 57.99999999999999, 57.333333333333336, 58.82666666666667]","[48.0, 52.0, 55.333333333333336, 57.99999999999999, 57.440000000000005]","[52.0, 52.0, 49.333333333333336, 51.33333333333333, 56.54666666666667]","[1.6045504871167635, 1.5527370728944476, 1.4469531774520874, 1.4710579859583002, 1.4291438460350037]","[1.542057896915235, 1.5019561930706626, 1.411719682969545, 1.45001199684645, 1.4248877450039512]","[1.5621581140317415, 1.445606871655113, 1.4080071261054592, 1.399818872150622, 1.3781090033681769]","[1.5565570467396785, 1.4280908233241032, 1.3862532690951699, 1.3170082694605778, 1.379007571621945]","[1.494928146663465, 1.3836501585809808, 1.3697035030314797, 1.4215950432576632, 1.296102617916308]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,0.0,{},{},{},{},{},{},15.828640699386597,16.081944465637207,16.43112015724182,16.099583864212036,16.300333738327026,0,0,0,0,0,0,0,0,0,0,0.5236201286315918,,,0
9,9,41.60864166852611,49.565176403811705,49.95825569573179,50.189091542428315,39.73478910727905,1.4503182342177945,1.4157522734842805,1.429278582648227,1.4293352660379912,1.3931893969836988,"[57.333333333333336, 56.00000000000001, 54.0, 54.666666666666664, 57.38666666666666]","[64.66666666666666, 69.33333333333334, 64.0, 65.33333333333333, 58.4]","[61.33333333333333, 64.0, 58.666666666666664, 64.66666666666666, 58.18666666666667]","[56.00000000000001, 57.99999999999999, 53.333333333333336, 56.00000000000001, 58.440000000000005]","[62.0, 64.0, 63.33333333333333, 65.33333333333333, 60.14666666666667]","[1.549176761978551, 1.5589499097121389, 1.398629445778696, 1.4109390252514888, 1.3338960283680965]","[1.5289029573139392, 1.4119158575409336, 1.460738928694474, 1.3348584959381504, 1.3423451279339038]","[1.5603522376010293, 1.4149035654569928, 1.4390303398433484, 1.4099942759463662, 1.3221124943933988]","[1.5477783428995233, 1.4515584205326282, 1.4113083701384694, 1.3543708794995357, 1.3816603171197992]","[1.6133019735938625, 1.4397563683359247, 1.3292637153675682, 1.3653933562730487, 1.21823157134809]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6262,0.0,{},{},{},{},{},{},16.137336492538452,16.282947301864624,16.299699544906616,15.96709966659546,16.506497621536255,0,0,0,0,0,0,0,0,0,0,0.3894109725952148,,,0
