,Unnamed: 0,Unnamed: 0.1,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,0,0,19.19565121180065,22.74933547935543,23.886906579426746,22.15070146912945,19.947234330631673,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358,0.0,14.982161283493042,15.190640687942505,15.045167207717896,15.115102291107178,14.912437915802002,0,0,0,0,0,0,0,0,0,0,0.50177001953125,,,0
1,1,1,28.635651211800653,17.5360021460221,28.23357324609342,21.99070146912945,27.41390099729834,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.1357102394104,15.20021915435791,15.041180849075316,14.977567195892334,14.952510356903076,0,0,0,0,0,0,0,0,0,0,0.3982114791870117,,,0
2,2,2,34.38231787846732,29.802668812688772,31.540239912760075,29.857368135796115,30.893900997298346,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.293877601623535,15.313981533050535,15.328061819076538,15.130637645721436,15.273142337799072,0,0,0,0,0,0,0,0,0,0,0.3984758853912353,,,0
3,3,3,35.14231787846731,33.20266881268877,33.11357324609342,26.750701469129446,34.213900997298346,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.189434289932253,15.078243017196655,15.356136322021484,15.21092963218689,15.164446830749512,0,0,0,0,0,0,0,0,0,0,0.5017855167388916,,,0
4,4,4,35.50231787846731,35.20266881268877,36.40690657942675,35.284034802462784,34.720567663965014,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.13750147819519,15.157038450241089,15.301516771316528,15.254178285598757,15.278583765029907,0,0,0,0,0,0,0,0,0,0,0.4047741889953613,,,0
5,5,5,38.16898454513398,32.1760021460221,40.073573246093424,40.604034802462785,39.34723433063168,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.228088140487673,15.16698932647705,15.06559681892395,15.24186658859253,15.268269300460815,0,0,0,0,0,0,0,0,0,0,0.3979439735412597,,,0
6,6,6,43.66231787846732,44.256002146022105,44.27357324609342,39.95070146912945,44.240567663965,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.225342988967896,15.2639319896698,15.344151973724363,15.215060472488403,15.59000277519226,0,0,0,0,0,0,0,0,0,0,0.4003217220306396,,,0
7,7,7,48.99565121180065,44.98933547935544,41.993573246093426,46.09736813579611,45.360567663965014,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.170417308807371,15.216295957565308,15.173444032669067,15.197031497955322,15.298076152801514,0,0,0,0,0,0,0,0,0,0,0.5022704601287842,,,0
8,8,8,54.95565121180066,44.42933547935543,48.26023991276008,51.20403480246278,49.360567663965014,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205169200897217,15.29154658317566,15.143331050872805,15.23760199546814,15.296299457550049,0,0,0,0,0,0,0,0,0,0,0.5035386085510254,,,0
9,9,9,53.82231787846733,56.8560021460221,55.260239912760085,53.13736813579611,50.787234330631684,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205376148223875,15.151497840881348,15.21903109550476,15.181700706481934,15.446735858917236,0,0,0,0,0,0,0,0,0,0,0.4981765747070312,,,0
10,10,10,56.08898454513398,55.32266881268877,56.033573246093425,55.77736813579611,57.600567663965016,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.341441869735718,15.23053789138794,15.211463689804075,15.26839542388916,15.280240058898926,0,0,0,0,0,0,0,0,0,0,0.5001060962677002,,,0
11,11,11,57.27565121180065,57.402668812688766,56.673573246093426,53.177368135796115,58.50723433063168,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.22596526145935,15.345965385437012,15.074764966964722,15.32162308692932,15.323755025863647,0,0,0,0,0,0,0,0,0,0,0.4013428688049316,,,0
