,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_loss_2,client_loss_0,client_loss_1,client_loss_4,client_loss_3,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch1,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_loss_per_epoch2,client_loss_per_epoch0,client_loss_per_epoch1,client_loss_per_epoch4,client_loss_per_epoch3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_layer_leakage_2,client_layer_leakage_0,client_layer_leakage_1,client_layer_leakage_4,client_layer_leakage_3,server_layer_leakage,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,0,0,0,0,0,0,0,0,0,0.08027879534858307,9.03227025652252,1.6411168418078212,0.1402224953081177,0.41024434272492516,1.9964493048818488,1.974187069190176,2.007539491904409,1.979438878360548,2.0277485609054566,"[34.0, 32.666666666666664, 26.666666666666668, 34.0, 34.346666666666664]","[26.666666666666668, 27.333333333333332, 27.333333333333332, 28.666666666666668, 30.21333333333333]","[23.333333333333332, 36.0, 34.0, 35.333333333333336, 34.70666666666667]","[28.666666666666668, 28.000000000000004, 28.000000000000004, 34.0, 30.933333333333334]","[22.0, 24.0, 24.0, 38.666666666666664, 33.839999999999996]","[2.2097781269173873, 1.965946730814482, 1.9563699270549573, 1.9351432197972347, 1.9150085198251825]","[2.1486967990272925, 1.941529255164297, 1.9096845702121132, 1.9401896815550954, 1.9308350399920815]","[2.213405860097785, 2.0012542260320565, 1.9629782438278198, 1.9321563934025012, 1.9279027361618846]","[2.156215002662257, 1.946894175127933, 1.9248548871592472, 1.9454842366670306, 1.9237460901862697]","[2.208025254701313, 1.9728203008049412, 1.9969553069064492, 2.008574040312516, 1.952367901802063]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3334,0.0,{},{},{},{},{},{},20.51722407341004,16.81812047958374,16.804964303970337,16.329378604888916,16.560831546783447,0,0,0,0,0,0,0,0,0,0,0.4138133525848388,,,0
1,1,1,1,1,1,1,1,1,1,0.5782246232295752,0.01778948072073494,2.3611168418078234,0.013156475589963246,0.3938363342837778,1.943442669667696,1.958999510815269,1.998762067995573,1.9170611230950605,1.9700707874800032,"[31.333333333333336, 27.333333333333332, 26.666666666666668, 24.666666666666668, 36.413333333333334]","[27.333333333333332, 28.666666666666668, 28.666666666666668, 28.666666666666668, 34.266666666666666]","[34.0, 30.666666666666664, 30.0, 41.333333333333336, 35.42666666666667]","[22.666666666666664, 30.666666666666664, 33.33333333333333, 30.666666666666664, 33.85333333333334]","[30.666666666666664, 32.0, 36.0, 31.333333333333336, 30.813333333333333]","[1.9894198994887502, 1.9487279088873612, 1.9453235739155819, 1.9290014254419428, 1.9047405406048423]","[2.0006825610211023, 1.9592837346227545, 1.9568005612022, 1.9414847775509483, 1.9367459196793406]","[2.045077681541443, 1.975473209431297, 1.9523152552152936, 2.0252638239609566, 1.9956803698288768]","[1.9657057774694342, 1.9273527170482434, 1.9064259780080695, 1.8830213860461587, 1.9027997569033974]","[2.004269091706527, 1.9728172829276638, 1.9735781519036544, 1.9510551565571834, 1.9486342543049862]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3423,0.0,{},{},{},{},{},{},16.912959575653076,16.914384365081787,16.993699073791504,16.608481884002686,16.84315013885498,0,0,0,0,0,0,0,0,0,0,0.3985648155212402,,,0
2,2,2,2,2,2,2,2,2,2,1.2853876811722587,9.091091995286831,0.2277835084744908,8.941918476278671,0.7273611429682475,1.8811902297170533,1.9310856656024329,1.922760878111187,1.91339719922919,1.931244254112244,"[25.333333333333336, 26.0, 30.666666666666664, 25.333333333333336, 37.81333333333333]","[32.666666666666664, 32.666666666666664, 41.333333333333336, 32.666666666666664, 30.733333333333334]","[33.33333333333333, 34.66666666666667, 33.33333333333333, 32.666666666666664, 33.29333333333334]","[28.666666666666668, 38.0, 32.666666666666664, 31.333333333333336, 30.186666666666667]","[28.000000000000004, 28.666666666666668, 30.0, 30.0, 31.653333333333332]","[1.9021216881902594, 1.8962989041679783, 1.889436502205698, 1.86543103268272, 1.8526630213386135]","[1.9711026455226697, 1.933988238635816, 1.9171285252822072, 1.9121046191767643, 1.9211042993947078]","[1.9685632680591785, 1.9132555221256458, 1.9089982133162648, 1.920127975313287, 1.9028594117415578]","[1.9461816925751536, 1.9161518435729177, 1.9138682578739368, 1.9044516839479144, 1.8863325181760286]","[1.9634585506037663, 1.9384640894438092, 1.9239933114302785, 1.9172496795654297, 1.9130556395179348]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3334,0.0,{},{},{},{},{},{},16.191459894180298,16.73340082168579,16.674615621566772,16.691670179367065,16.651450634002686,0,0,0,0,0,0,0,0,0,0,0.5196311473846436,,,0
3,3,3,3,3,3,3,3,3,3,0.2048912898962475,9.251091995286831,0.011327427046174399,0.2431730346919717,0.1271696676171103,1.9035213257137096,1.9254314447704115,1.922067549354152,1.9013141004662764,1.915214386739229,"[34.66666666666667, 30.666666666666664, 34.66666666666667, 45.33333333333333, 36.04]","[36.666666666666664, 36.666666666666664, 30.666666666666664, 34.66666666666667, 30.893333333333334]","[36.0, 36.0, 32.666666666666664, 31.333333333333336, 32.33333333333333]","[30.666666666666664, 30.666666666666664, 34.0, 30.666666666666664, 32.586666666666666]","[28.666666666666668, 34.0, 32.666666666666664, 27.333333333333332, 30.546666666666667]","[1.9244914619546187, 1.9009456571779753, 1.9095822949158519, 1.897255495974892, 1.885331718545211]","[1.939927107409427, 1.9374645258250989, 1.934239895720231, 1.8986573470266241, 1.916868347870676]","[1.9666826787747835, 1.9159279183337563, 1.9214130263579519, 1.907994226405495, 1.8983198968987716]","[1.9285257176349038, 1.9168550968170166, 1.8891623898556358, 1.8826437561135543, 1.8893835419102718]","[1.9336231695978265, 1.913212029557479, 1.90414055397636, 1.9161589333885594, 1.9089372471759194]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3336,0.0,{},{},{},{},{},{},16.280548095703125,16.4552161693573,16.660973072052002,16.419336795806885,16.24810290336609,0,0,0,0,0,0,0,0,0,0,0.3237452507019043,,,0
4,4,4,4,4,4,4,4,4,4,0.7653876811722657,9.125603589855855,1.9211168418078184,9.181918476278677,2.1733632672102097,1.917194430451644,1.9141428771771885,1.912121794098302,1.9096891716906896,1.901999215075844,"[43.333333333333336, 34.0, 41.333333333333336, 40.666666666666664, 37.29333333333334]","[31.333333333333336, 30.0, 28.666666666666668, 32.666666666666664, 30.306666666666665]","[34.0, 30.666666666666664, 33.33333333333333, 36.0, 34.986666666666665]","[33.33333333333333, 34.0, 32.666666666666664, 38.0, 30.42666666666667]","[35.333333333333336, 29.333333333333332, 36.666666666666664, 34.66666666666667, 36.54666666666667]","[1.9351386271025006, 1.9067094576986212, 1.9264621671877409, 1.9122965273104215, 1.9053653729589362]","[1.9222296350880672, 1.9042749906841077, 1.9101174881583767, 1.9177466003518355, 1.916345671603554]","[1.9302741791072644, 1.9132842515644275, 1.9108777234428806, 1.8987226674431248, 1.9074501489338123]","[1.9230330555062545, 1.9056000709533691, 1.927484487232409, 1.899570527829622, 1.8927577169317948]","[1.9289441045961881, 1.9086150244662636, 1.8989595174789429, 1.8948726465827541, 1.8786047822550724]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3404,0.0,{},{},{},{},{},{},16.72277545928955,16.67413878440857,16.47179675102234,16.57532811164856,16.775829792022705,0,0,0,0,0,0,0,0,0,0,0.3976485729217529,,,0
5,5,5,5,5,5,5,5,5,5,0.37822462322957906,0.2560695602843896,3.974450175141153,0.4108305734245865,0.7362012535766564,1.8764650344848632,1.867227023526242,1.9233208957471348,1.870583195435373,1.883894164938676,"[36.0, 36.666666666666664, 35.333333333333336, 38.666666666666664, 36.21333333333333]","[32.666666666666664, 32.666666666666664, 38.0, 33.33333333333333, 31.466666666666665]","[36.0, 32.666666666666664, 30.0, 28.666666666666668, 37.04]","[34.0, 31.333333333333336, 30.666666666666664, 30.666666666666664, 33.57333333333333]","[31.333333333333336, 26.0, 27.333333333333332, 27.333333333333332, 33.38666666666666]","[1.9232200509623478, 1.886125646139446, 1.867659148417021, 1.8523484970393933, 1.8529718298661082]","[1.8915645260559886, 1.8751636806287264, 1.8650145216992027, 1.8506185757486444, 1.8537738134986477]","[1.953264456046255, 1.924807397942794, 1.9067980239265843, 1.9059056733783923, 1.9258289274416471]","[1.8846980082361322, 1.8633874215577777, 1.8796619176864624, 1.8537194038692273, 1.8714492258272672]","[1.90587644200576, 1.8750260629151996, 1.8774232550671226, 1.881185719841405, 1.8799593448638916]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3547,0.0,{},{},{},{},{},{},16.893284797668457,16.543723583221436,16.37350106239319,17.230086088180542,16.773879766464233,0,0,0,0,0,0,0,0,0,0,0.3524160385131836,,,0
6,6,6,6,6,6,6,6,6,6,0.3702834883119745,1.02865974416603,0.5579940937128423,1.7928167636285322,0.09620125357666287,1.8743724258322465,1.8727422526008204,1.873429866840965,1.8440361926430149,1.8975494322023887,"[39.33333333333333, 32.666666666666664, 37.333333333333336, 34.0, 33.28]","[32.666666666666664, 34.0, 34.66666666666667, 32.666666666666664, 36.120000000000005]","[36.0, 33.33333333333333, 27.333333333333332, 34.0, 32.879999999999995]","[37.333333333333336, 31.333333333333336, 32.666666666666664, 36.0, 36.413333333333334]","[36.0, 32.666666666666664, 32.666666666666664, 28.666666666666668, 32.74666666666667]","[1.9053914797933478, 1.8723038685949225, 1.880548031706559, 1.8576803081913997, 1.8559384408750033]","[1.914076566696167, 1.8716922182785838, 1.8793070692765086, 1.84926638477727, 1.8493690239755731]","[1.8963291394083124, 1.8775561734249717, 1.8717352151870728, 1.8559044285824424, 1.8656243776020252]","[1.8492570048884343, 1.8336528916107981, 1.8357518032977456, 1.832022089707224, 1.8694971737108732]","[1.9200374766399986, 1.8981537881650423, 1.8890283107757568, 1.8937300067198903, 1.8867975787112587]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3842,0.0,{},{},{},{},{},{},17.29518985748291,17.053328275680542,16.96821165084839,16.7259681224823,16.067301034927368,0,0,0,0,0,0,0,0,0,0,0.5232195854187012,,,0
7,7,7,7,7,7,7,7,7,7,0.24245981912529646,0.026372210545355657,2.1477835084744887,0.6704908614631732,0.5006944763015863,1.888987807223672,1.8512246596185784,1.8990513374930933,1.8332705209129727,1.8608577414562828,"[46.0, 40.0, 40.0, 36.0, 35.42666666666667]","[34.0, 30.0, 34.0, 31.333333333333336, 32.50666666666667]","[33.33333333333333, 38.0, 40.0, 38.666666666666664, 35.21333333333334]","[46.666666666666664, 38.0, 38.0, 43.333333333333336, 34.61333333333334]","[30.666666666666664, 30.0, 25.333333333333336, 29.333333333333332, 31.42666666666667]","[1.8902137404993962, 1.9106888080898083, 1.8771168746446307, 1.8897632925133956, 1.877156320371126]","[1.8549536717565436, 1.8561958827470477, 1.833835990805375, 1.8527472019195557, 1.8583905508643703]","[1.915985759935881, 1.9052843420129073, 1.8915170368395353, 1.893001863830968, 1.8894676848461753]","[1.8328332712775783, 1.849622368812561, 1.8305372627157914, 1.8274020144813938, 1.825957687277543]","[1.8394029830631458, 1.8417345912832963, 1.896290383840862, 1.862098028785304, 1.8647627203088057]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3425,0.0,{},{},{},{},{},{},16.444570541381836,16.760606050491333,16.85378670692444,17.15535879135132,16.732964277267456,0,0,0,0,0,0,0,0,0,0,0.4254612922668457,,,0
8,8,8,8,8,8,8,8,8,8,0.1382246232295855,0.04657345522126066,4.574450175141155,1.2861500969618707,2.6933632672102066,1.805802419311122,1.870639886354145,1.895857560007196,1.848469123087431,1.8762016421870185,"[36.666666666666664, 41.333333333333336, 37.333333333333336, 38.0, 35.973333333333336]","[29.333333333333332, 34.0, 35.333333333333336, 31.333333333333336, 34.44]","[34.0, 32.666666666666664, 33.33333333333333, 36.666666666666664, 37.64]","[34.66666666666667, 36.0, 34.0, 38.666666666666664, 35.906666666666666]","[26.666666666666668, 22.0, 30.0, 26.666666666666668, 37.06666666666666]","[1.8276934121784412, 1.8048304695832103, 1.7930749592028166, 1.8142647492258173, 1.7891485063653243]","[1.927221285669427, 1.8527474277897884, 1.855171423209341, 1.8611055863531012, 1.8569537087490684]","[1.92659498515882, 1.9000750466396934, 1.8971108825583207, 1.870153169882925, 1.8853537157962197]","[1.8675229235699302, 1.8524418441872847, 1.8492369149860584, 1.8390997146305286, 1.8340442180633545]","[1.8785596019343327, 1.8941934924376638, 1.8948895743018703, 1.8682394215935154, 1.8451261206677085]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.3898,0.0,{},{},{},{},{},{},17.483651638031006,16.82328152656555,17.50514817237854,16.898759365081787,16.552099227905273,0,0,0,0,0,0,0,0,0,0,0.4157910346984863,,,0
9,9,9,9,9,9,9,9,9,9,0.8187210145055857,4.081993077499356,2.2677835084744897,3.872816763628545,3.7333632672102164,1.8198104230981125,1.8538805447126687,1.8312656477877969,1.8408448771426555,1.84210759965997,"[30.0, 33.33333333333333, 32.666666666666664, 38.0, 37.346666666666664]","[41.333333333333336, 42.0, 42.0, 40.0, 39.17333333333333]","[41.333333333333336, 35.333333333333336, 34.0, 36.666666666666664, 35.333333333333336]","[47.333333333333336, 45.33333333333333, 48.0, 50.66666666666667, 38.49333333333333]","[38.0, 40.666666666666664, 37.333333333333336, 46.0, 38.10666666666667]","[1.8413178607037193, 1.8261991551047878, 1.8134398460388184, 1.8094528474305804, 1.808642406212656]","[1.856148412353114, 1.856756749906038, 1.852627616179617, 1.8494243621826172, 1.8544455829419588]","[1.8366473474000629, 1.817919881720292, 1.8289850762015896, 1.834229538315221, 1.8385463953018188]","[1.8392837549510754, 1.830702361307646, 1.8418866395950317, 1.8439921454379433, 1.8483594844215794]","[1.8524547376130756, 1.8460057785636501, 1.8664537103552568, 1.816240944360432, 1.8293828274074353]",0.0,0.0,0.0,0.0,-0.0004850368212223,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,{},{},{},{},{},{},16.82869577407837,16.766286611557007,16.931273937225342,16.87280774116516,16.858445644378662,0,0,0,0,0,0,0,0,0,0,0.5086379051208496,,,0
