,client_accuracy_0,client_accuracy_7,client_accuracy_2,client_accuracy_1,client_accuracy_8,client_accuracy_4,client_accuracy_6,client_accuracy_5,client_accuracy_9,client_accuracy_3,server_attack,server_accuracy
0,93.8,94.0,95.8,95.6,89.8,91.2,95.19999999999999,93.60000000000001,96.6,96.8,73.668,0.8514
1,98.4,97.2,97.8,96.8,97.8,98.6,97.2,98.0,97.39999999999999,99.4,70.852,0.8575
2,96.6,99.0,98.0,99.4,98.2,98.6,97.0,97.0,98.6,98.6,72.32,0.8539
3,98.8,97.8,96.8,99.2,98.4,94.6,96.8,98.8,98.8,98.4,73.26,0.8577
4,97.6,98.8,97.0,99.6,97.39999999999999,99.6,97.6,98.4,98.8,99.2,72.96000000000001,0.8535
5,99.0,99.2,99.6,99.8,99.0,99.8,98.6,99.2,99.2,98.6,74.632,0.8532
6,98.6,99.6,99.6,99.2,99.6,99.2,99.8,99.6,97.6,99.8,73.396,0.8555
7,98.2,100.0,97.8,99.4,99.8,99.6,97.39999999999999,99.2,99.6,97.6,74.992,0.8543
8,100.0,99.4,100.0,99.0,99.4,99.2,99.2,98.6,98.2,99.8,75.476,0.8496
9,99.8,100.0,99.8,99.8,99.4,100.0,99.8,99.4,99.2,99.6,75.964,0.8517
10,100.0,99.8,99.8,99.4,99.2,98.2,99.8,99.8,99.4,99.4,75.72,0.8536
11,99.6,99.8,99.6,100.0,99.6,100.0,99.6,99.4,99.4,100.0,75.55199999999999,0.8521
12,100.0,99.0,99.4,100.0,98.8,99.4,100.0,99.6,99.8,99.8,76.52799999999999,0.8529
13,100.0,99.2,99.8,99.4,99.8,99.8,99.6,99.4,99.8,100.0,76.564,0.8559
14,100.0,100.0,99.0,99.8,99.8,99.8,100.0,99.8,99.0,100.0,77.4,0.8535
15,100.0,100.0,99.8,100.0,100.0,99.8,99.8,99.0,99.6,100.0,75.804,0.8543
16,99.8,100.0,100.0,100.0,99.8,100.0,99.4,99.8,100.0,100.0,77.424,0.8564
17,100.0,99.8,99.6,100.0,100.0,99.6,99.6,100.0,100.0,100.0,77.864,0.8548
18,100.0,99.8,99.0,100.0,99.8,100.0,100.0,99.8,100.0,99.8,77.36800000000001,0.8561
19,99.6,99.2,100.0,100.0,100.0,100.0,99.6,100.0,99.8,100.0,77.05199999999999,0.8568
20,99.6,99.8,99.6,99.4,100.0,100.0,99.8,100.0,99.4,99.6,77.584,0.8554
21,100.0,100.0,99.8,100.0,99.8,99.8,100.0,100.0,100.0,99.8,77.248,0.8562
22,99.4,100.0,100.0,99.8,99.8,99.8,100.0,100.0,99.6,100.0,77.00399999999999,0.8557
23,100.0,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,78.372,0.8565
24,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.944,0.8575
25,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,77.428,0.8559
26,100.0,99.6,99.6,100.0,99.8,100.0,100.0,99.8,100.0,100.0,78.64,0.8554
27,100.0,99.8,100.0,100.0,99.8,99.8,100.0,100.0,99.8,100.0,78.024,0.8556
28,99.8,100.0,99.8,99.8,99.8,100.0,100.0,99.8,100.0,99.6,78.164,0.8566
29,100.0,100.0,100.0,100.0,99.8,100.0,99.8,100.0,100.0,100.0,79.388,0.8548
