,client_accuracy_0,client_attack_0,server_attack,client_auc_0,server_auc
0,4.269241723408882,0.0,0.0,0.0,0.0
1,17.65543226803124,0.0,0.0,0.0,0.0
2,27.1323592373474,0.0,0.0,0.0,0.0
3,31.483335844039367,0.0,0.0,0.0,0.0
4,35.584230859276786,0.0,0.0,0.0,0.0
5,38.961119856178414,0.0,0.0,0.0,0.0
6,41.313219581324994,0.0,0.0,0.0,0.0
7,43.424339033853585,0.0,0.0,0.0,0.0
8,44.97613699212843,0.0,0.0,0.0,0.0
9,46.32722660185742,0.0,0.0,0.0,0.0
10,46.826432943042036,0.0,0.0,0.0,0.0
11,47.2742197061566,0.0,0.0,0.0,0.0
12,48.453602683900904,0.0,0.0,0.0,0.0
13,48.613045967053885,0.0,0.0,0.0,0.0
14,49.818566943001095,0.0,0.0,0.0,0.0
15,50.153567169385134,0.0,0.0,0.0,0.0
16,50.20267986835184,0.0,0.0,0.0,0.0
17,50.088121342842925,0.0,0.0,0.0,0.0
18,50.10885030516755,0.0,0.0,0.0,0.0
19,51.10139366452694,0.0,0.0,0.0,0.0
20,51.1082039170066,0.0,0.0,0.0,0.0
21,51.29543201174733,0.0,0.0,0.0,0.0
22,51.39156120653361,0.0,0.0,0.0,0.0
23,51.33967300509085,0.0,0.0,0.0,0.0
24,51.746418039981776,0.0,0.0,0.0,0.0
25,51.911812775141684,0.0,0.0,0.0,0.0
26,51.699342385603835,0.0,0.0,0.0,0.0
27,51.667408295094596,0.0,0.0,0.0,0.0
28,51.37596813896614,0.0,0.0,0.0,0.0
29,51.593243390890734,0.0,0.0,0.0,0.0
30,52.67282194272444,0.0,0.0,0.0,0.0
31,52.22167619215139,0.0,0.0,0.0,0.0
32,53.06172810478055,0.0,0.0,0.0,0.0
33,52.90347317323739,0.0,0.0,0.0,0.0
34,52.99006105340086,0.0,0.0,0.0,0.0
35,53.76441487770732,0.0,0.0,0.0,0.0
36,53.266486145370436,0.0,0.0,0.0,0.0
37,52.50392375002565,0.0,0.0,0.0,0.0
38,53.46671573658308,0.0,0.0,0.0,0.0
39,53.14387554247217,0.0,0.0,0.0,0.0
40,53.96732415789205,0.0,0.0,0.0,0.0
41,52.9824639746832,0.0,0.0,0.0,0.0
42,54.04162336721514,0.0,0.0,0.0,0.0
43,54.03571599405402,0.0,0.0,0.0,0.0
44,54.31674155367042,0.0,0.0,0.0,0.0
45,53.92876632347526,0.0,0.0,0.0,0.0
46,54.069156106795255,0.0,0.0,0.0,0.0
47,53.94515312589398,0.0,0.0,0.0,0.0
48,54.423108553434545,0.0,0.0,0.0,0.0
49,54.67258763067422,0.0,0.0,0.0,0.0
50,53.56266227610084,0.0,0.0,0.0,0.0
51,54.5224452886721,0.0,0.0,0.0,0.0
52,53.765893955983465,0.0,0.0,0.0,0.0
53,54.05023815508872,0.0,0.0,0.0,0.0
54,53.56661846453178,0.0,0.0,0.0,0.0
55,54.975459695661314,0.0,0.0,0.0,0.0
56,54.95533442139719,0.0,0.0,0.0,0.0
57,54.33191136939474,0.0,0.0,0.0,0.0
58,54.635555289053656,0.0,0.0,0.0,0.0
59,54.87950210925236,0.0,0.0,0.0,0.0
60,54.89890113663535,64.15,63.19,64.15,63.19
61,54.34600347115866,64.15,63.19,64.15,63.19
62,54.5745565375699,64.15,63.19,64.15,63.19
63,54.48278320813253,64.15,63.19,64.15,63.19
64,54.69899320853139,64.15,63.19,64.15,63.19
65,54.85676338764059,64.15,63.19,64.15,63.19
66,54.72299246600518,64.15,63.19,64.15,63.19
67,54.83882705337016,64.15,63.19,64.15,63.19
68,55.355918223064926,64.15,63.19,64.15,63.19
69,55.38752824936893,64.15,63.19,64.15,63.19
70,55.08082366388269,64.15,63.19,64.15,63.19
71,54.708064077796614,64.15,63.19,64.15,63.19
72,54.07332129727773,64.15,63.19,64.15,63.19
73,55.0700956085248,64.15,63.19,64.15,63.19
74,55.36300611104267,64.15,63.19,64.15,63.19
75,55.61645836382201,64.15,63.19,64.15,63.19
76,55.35797909970763,64.15,63.19,64.15,63.19
77,55.06111978188639,64.15,63.19,64.15,63.19
78,54.72430293850607,64.15,63.19,64.15,63.19
79,55.22669097973387,64.15,63.19,64.15,63.19
80,55.77565025353802,64.15,63.19,64.15,63.19
81,57.11591109382641,64.15,63.19,64.15,63.19
82,56.414563173532834,64.15,63.19,64.15,63.19
83,58.693596518044664,64.15,63.19,64.15,63.19
84,58.77601177060329,64.15,63.19,64.15,63.19
85,59.7839318426857,64.15,63.19,64.15,63.19
86,60.62021626440843,64.15,63.19,64.15,63.19
87,58.22226293398833,64.15,63.19,64.15,63.19
88,58.333688206066746,64.15,63.19,64.15,63.19
89,58.06580228208479,64.15,63.19,64.15,63.19
90,58.61471369474508,64.15,63.19,64.15,63.19
91,58.22993161987817,64.15,63.19,64.15,63.19
92,59.095664422498665,64.15,63.19,64.15,63.19
93,59.05511467100582,64.15,63.19,64.15,63.19
94,58.60635026654149,64.15,63.19,64.15,63.19
95,58.086069391053286,64.15,63.19,64.15,63.19
96,58.58586059401113,64.15,63.19,64.15,63.19
97,57.78881636391473,64.15,63.19,64.15,63.19
98,57.10428499116777,64.15,63.19,64.15,63.19
99,58.41554618878138,64.15,63.19,64.15,63.19
