,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_loss_2,client_loss_0,client_loss_1,client_loss_4,client_loss_3,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch1,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_loss_per_epoch2,client_loss_per_epoch0,client_loss_per_epoch1,client_loss_per_epoch4,client_loss_per_epoch3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_layer_leakage_2,client_layer_leakage_0,client_layer_leakage_1,client_layer_leakage_4,client_layer_leakage_3,server_layer_leakage,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,30.12,30.12,30.12,30.12,30.12,2.2731307017175775,2.283870910343371,2.3183668952239187,2.3201161936709758,2.306491124002557,"[32.0, 32.0, 32.0, 32.0, 30.12]","[34.66666666666667, 34.66666666666667, 34.66666666666667, 34.66666666666667, 30.12]","[30.666666666666664, 30.666666666666664, 30.666666666666664, 30.666666666666664, 30.12]","[26.666666666666668, 26.666666666666668, 26.666666666666668, 26.666666666666668, 30.12]","[27.333333333333332, 27.333333333333332, 27.333333333333332, 27.333333333333332, 30.12]","[3.036104829687821, 2.301931105161968, 2.0773401260375977, 1.9860288281189769, 1.9642486195815236]","[3.064188028636732, 2.333157602109407, 2.072642213419864, 1.9889171876405414, 1.9604495199103105]","[3.070707735262419, 2.358824453855816, 2.1089529551957784, 2.0346806864989433, 2.0186686453066374]","[3.056788921356201, 2.3629743801920036, 2.125235545007806, 2.0444039859269796, 2.011178135871887]","[3.064086437225342, 2.3569836114582263, 2.0950549338993274, 2.017482832858437, 1.9988478045714528]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},24.309754610061646,19.965931177139282,19.70036506652832,20.369171857833862,19.089534044265747,0,0,0,0,0,0,0,0,0,0,0.030364513397216797,,,0
1,30.12,30.12,30.12,30.12,30.12,1.9530767403150862,1.9292476265054,2.0060698546861344,1.9860369431345084,1.9836720303485265,"[30.0, 30.0, 30.0, 30.0, 30.12]","[30.666666666666664, 30.666666666666664, 30.666666666666664, 30.666666666666664, 30.12]","[34.0, 34.0, 34.0, 34.0, 30.12]","[32.0, 32.0, 32.0, 32.0, 30.12]","[28.666666666666668, 28.666666666666668, 28.666666666666668, 28.666666666666668, 30.12]","[1.9743623231586658, 1.9576138697172467, 1.9514712973644859, 1.9412849576849687, 1.9406512536500629]","[1.944519839788738, 1.9403958697068064, 1.9304169604652806, 1.919467110382883, 1.9114383521832918]","[2.036032463374891, 2.014264966312208, 2.0034304669028833, 1.9900143899415668, 1.986606986899125]","[2.0098711816888106, 1.9986829945915623, 1.983803680068568, 1.9717087306474383, 1.9661181286761635]","[2.0138636388276754, 1.9899293686214246, 1.9766952426810014, 1.9706911852485256, 1.9671807163640072]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},20.422719717025757,20.18612813949585,20.2544162273407,19.797699213027954,20.30430817604065,0,0,0,0,0,0,0,0,0,0,0.03495979309082031,,,0
2,30.12,30.12,30.12,30.12,30.12,1.91546528339386,1.8665318288301165,1.983351387475666,1.9706110176287202,1.915141521002117,"[29.333333333333332, 29.333333333333332, 29.333333333333332, 29.333333333333332, 30.12]","[24.0, 24.0, 24.0, 24.0, 30.12]","[35.333333333333336, 35.333333333333336, 35.333333333333336, 35.333333333333336, 30.12]","[34.0, 34.0, 34.0, 34.0, 30.12]","[26.666666666666668, 26.666666666666668, 26.666666666666668, 26.666666666666668, 30.12]","[1.9128462829087909, 1.9215068566171747, 1.9130441703294452, 1.9222793328134637, 1.9076497743004246]","[1.879028596376118, 1.862308709244979, 1.8746503591537476, 1.8606185536635549, 1.8560529257121838]","[1.9984505929444965, 1.983991735859921, 1.9839665199580945, 1.9779854322734631, 1.9723626563423557]","[1.9911961931931346, 1.9700738128862882, 1.9603769340013202, 1.964547088271693, 1.9668610597911633]","[1.9283729352449115, 1.9172283661992926, 1.9180877145967985, 1.910319905532034, 1.9016986834375482]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},19.964105129241943,19.9988534450531,20.183356285095215,19.872084379196167,20.433414697647095,0,0,0,0,0,0,0,0,0,0,0.033888816833496094,,,0
3,30.12,30.12,30.12,30.12,30.12,1.9001088431006985,1.8789645973004792,1.9413393961755852,1.9365422085711832,1.9293275632356344,"[32.0, 32.0, 32.0, 32.0, 30.12]","[30.0, 30.0, 30.0, 30.0, 30.12]","[34.66666666666667, 34.66666666666667, 34.66666666666667, 34.66666666666667, 30.12]","[31.333333333333336, 31.333333333333336, 31.333333333333336, 31.333333333333336, 30.12]","[26.0, 26.0, 26.0, 26.0, 30.12]","[1.9143314361572266, 1.8953477395208258, 1.9039843270653172, 1.89764404296875, 1.8892366697913723]","[1.8877970168465061, 1.880865266448573, 1.8790578904904818, 1.8754991355695223, 1.8716036771473132]","[1.9477376812382747, 1.9476217282445807, 1.9430969890795255, 1.936336925155238, 1.9319036571603072]","[1.9466243480381213, 1.941072664762798, 1.932638356560155, 1.9338094560723555, 1.9285662174224854]","[1.9260221406033164, 1.9323343665976274, 1.9320253572965924, 1.92470477756701, 1.9315511741136249]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},20.123953580856323,20.11588740348816,20.08855891227722,19.99906301498413,20.341519117355347,0,0,0,0,0,0,0,0,0,0,0.029254674911499023,,,0
4,30.12,30.12,30.12,30.12,30.12,1.8860790691877667,1.8907546369652999,1.9508531620627956,1.9638096382743435,1.9134715682581853,"[32.0, 32.0, 32.0, 32.0, 30.12]","[35.333333333333336, 35.333333333333336, 35.333333333333336, 35.333333333333336, 30.12]","[30.666666666666664, 30.666666666666664, 30.666666666666664, 30.666666666666664, 30.12]","[32.0, 32.0, 32.0, 32.0, 30.12]","[26.0, 26.0, 26.0, 26.0, 30.12]","[1.888424233386391, 1.8842639672128778, 1.8900888781798513, 1.8883047103881836, 1.8793135567715293]","[1.8949405707811053, 1.8925422430038452, 1.892754410442553, 1.8825078324267739, 1.8910281281722219]","[1.9569530800769204, 1.951897420381245, 1.952060950429816, 1.9468576280694259, 1.9464967313565706]","[1.964412808418274, 1.9661232295789217, 1.9653447803698088, 1.9639983302668522, 1.9591690427378605]","[1.9173318837818347, 1.9140288390611346, 1.9188713149020546, 1.9100198620244075, 1.907105941521494]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},19.913374662399292,19.659127473831177,19.767065286636353,19.821927070617676,19.798133611679077,0,0,0,0,0,0,0,0,0,0,0.03575897216796875,,,0
5,30.12,30.12,30.12,30.12,30.12,1.9172866884030793,1.878445724437111,1.951824262267665,1.9276975769745675,1.9088686892860813,"[34.0, 34.0, 34.0, 34.0, 30.12]","[25.333333333333336, 25.333333333333336, 25.333333333333336, 25.333333333333336, 30.12]","[33.33333333333333, 33.33333333333333, 33.33333333333333, 33.33333333333333, 30.12]","[24.666666666666668, 24.666666666666668, 24.666666666666668, 24.666666666666668, 30.12]","[30.0, 30.0, 30.0, 30.0, 30.12]","[1.9211886242816323, 1.9197775313728733, 1.9183533379906101, 1.9137071622045416, 1.9134067861657393]","[1.8852636437667043, 1.8770497786371332, 1.8806541405226056, 1.8805206574891742, 1.8687404017699392]","[1.953258934773897, 1.9568884121744257, 1.9508542575334247, 1.9556066111514443, 1.9425130957051326]","[1.9289537856453343, 1.9431112816459255, 1.927459390539872, 1.9155567633478265, 1.9234066636938798]","[1.9144505011407953, 1.907748862316734, 1.902406893278423, 1.9034895018527382, 1.9162476878417165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},19.905072927474976,19.740336656570435,19.768023014068604,19.79432201385498,19.779277563095093,0,0,0,0,0,0,0,0,0,0,0.03219151496887207,,,0
6,30.12,30.12,30.12,30.12,30.12,1.87914812062916,1.8510064652091578,1.9428412512729039,1.955456657158701,1.9042115939290898,"[32.0, 32.0, 32.0, 32.0, 30.12]","[29.333333333333332, 29.333333333333332, 29.333333333333332, 29.333333333333332, 30.12]","[26.0, 26.0, 26.0, 26.0, 30.12]","[34.66666666666667, 34.66666666666667, 34.66666666666667, 34.66666666666667, 30.12]","[34.0, 34.0, 34.0, 34.0, 30.12]","[1.879527066883288, 1.8769129200985557, 1.8775469190195988, 1.879001912317778, 1.8827517848265798]","[1.8424909993221885, 1.8600189874046726, 1.8522932717674656, 1.848274212134512, 1.8519548554169505]","[1.962809261522795, 1.9423065060063411, 1.9342686063364933, 1.937528227504931, 1.9372936549939608]","[1.9665764131044086, 1.9542033295882375, 1.9588647955342342, 1.9558946835367303, 1.9417440640298944]","[1.921171646369131, 1.9030610009243614, 1.8917239778920223, 1.8988760270570453, 1.9062253174028898]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},19.104230642318726,19.230515480041504,20.167972087860107,19.63624620437622,20.81176447868347,0,0,0,0,0,0,0,0,0,0,0.03192281723022461,,,0
7,30.12,30.12,30.12,30.12,30.12,1.939023981596294,1.8717419047104684,1.9361609270698146,1.9163360595703125,1.919637723972923,"[28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 30.12]","[30.0, 30.0, 30.0, 30.0, 30.12]","[25.333333333333336, 25.333333333333336, 25.333333333333336, 25.333333333333336, 30.12]","[30.0, 30.0, 30.0, 30.0, 30.12]","[30.0, 30.0, 30.0, 30.0, 30.12]","[1.941319421717995, 1.9366743564605713, 1.946482972094887, 1.934977506336413, 1.9356656513716046]","[1.8730605903424715, 1.877343824035243, 1.8782715671940853, 1.8671393708178872, 1.8628941711626554]","[1.9493899094431024, 1.9267279662584003, 1.932568537561517, 1.9306999444961548, 1.9414182775898983]","[1.919023168714423, 1.919750270090605, 1.918201295953048, 1.911204915297659, 1.9135006477958278]","[1.9283403722863448, 1.9233151737012362, 1.920103813472547, 1.9137398067273592, 1.9126894536771273]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},19.877216815948486,19.842087745666504,20.316175937652588,19.803025007247925,20.070687532424927,0,0,0,0,0,0,0,0,0,0,0.03348541259765625,,,0
8,30.12,30.12,30.12,30.12,30.12,1.8761320490586129,1.8658425519340915,1.9411335393002158,1.9210743213954724,1.8910637993561594,"[24.0, 24.0, 24.0, 24.0, 30.12]","[32.0, 32.0, 32.0, 32.0, 30.12]","[30.666666666666664, 30.666666666666664, 30.666666666666664, 30.666666666666664, 30.12]","[26.666666666666668, 26.666666666666668, 26.666666666666668, 26.666666666666668, 30.12]","[29.333333333333332, 29.333333333333332, 29.333333333333332, 29.333333333333332, 30.12]","[1.8902487315629657, 1.8724937125256187, 1.870910776288886, 1.8697433785388344, 1.8772636463767605]","[1.8675025074105513, 1.8615708288393522, 1.8708097621014244, 1.86376396605843, 1.8655656952607005]","[1.962165405875758, 1.9360242015437077, 1.9364576088754755, 1.938180647398296, 1.932839832807842]","[1.916697715458117, 1.9348307910718416, 1.9208911155399524, 1.9261494310278642, 1.9068025538795872]","[1.8942209043000873, 1.892489232515034, 1.891510568167034, 1.89022033465536, 1.8868779571432817]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},19.756383180618286,19.96206831932068,19.77396273612976,19.752497673034668,19.61759328842163,0,0,0,0,0,0,0,0,0,0,0.030614852905273438,,,0
9,30.12,30.12,30.12,30.12,30.12,1.8951553834112065,1.858269133065876,1.927049133652135,1.9435328031841077,1.89855049032914,"[29.333333333333332, 29.333333333333332, 29.333333333333332, 29.333333333333332, 30.12]","[28.666666666666668, 28.666666666666668, 28.666666666666668, 28.666666666666668, 30.12]","[33.33333333333333, 33.33333333333333, 33.33333333333333, 33.33333333333333, 30.12]","[30.666666666666664, 30.666666666666664, 30.666666666666664, 30.666666666666664, 30.12]","[30.666666666666664, 30.666666666666664, 30.666666666666664, 30.666666666666664, 30.12]","[1.9014611808877242, 1.8902501558002673, 1.896280752985101, 1.9008979483654624, 1.8868868790174786]","[1.8658802383824398, 1.8552862154810053, 1.8534620310130872, 1.854945747475875, 1.8617714329769737]","[1.940074650864852, 1.9228313533883346, 1.9267790003826744, 1.9246815380297209, 1.9208791255950928]","[1.9481511555219952, 1.9513462279972278, 1.9364991627241437, 1.9466568231582642, 1.935010646518908]","[1.9016134676180387, 1.9009347087458561, 1.8985530388982672, 1.8960236185475399, 1.8956276178359985]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332,0.0,{},{},{},{},{},{},20.09477734565735,19.69576120376587,20.39685821533203,19.67554807662964,19.576422929763794,0,0,0,0,0,0,0,0,0,0,0.029567718505859375,,,0
