,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_loss_2,client_loss_0,client_loss_1,client_loss_4,client_loss_3,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch1,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_loss_per_epoch2,client_loss_per_epoch0,client_loss_per_epoch1,client_loss_per_epoch4,client_loss_per_epoch3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,37.653333333333336,37.24,37.68,35.199999999999996,36.733333333333334,2.1962817049026486,2.159296369552612,2.174019074440002,2.1477203559875484,2.1347392463684085,"[23.333333333333332, 26.0, 30.0, 31.333333333333336, 37.653333333333336]","[26.0, 32.666666666666664, 31.333333333333336, 37.333333333333336, 37.24]","[29.333333333333332, 33.33333333333333, 36.0, 38.0, 37.68]","[22.0, 26.0, 27.333333333333332, 31.333333333333336, 35.199999999999996]","[17.333333333333336, 22.0, 30.666666666666664, 34.66666666666667, 36.733333333333334]","[3.109857988357544, 2.1923563957214354, 1.9763064861297608, 1.877132821083069, 1.8257548332214355]","[3.0929428577423095, 2.149404001235962, 1.9316276788711548, 1.8411615133285522, 1.781345796585083]","[3.0806055068969727, 2.178221273422241, 1.9550771951675414, 1.870714282989502, 1.7854771137237548]","[3.10078649520874, 2.126358652114868, 1.9167161941528321, 1.8208740472793579, 1.773866391181946]","[3.1104634761810304, 2.1381667613983155, 1.8902031660079956, 1.785428810119629, 1.7494340181350707]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3707,0.0,18.21505117416382,15.792545318603516,15.769494771957397,15.98317575454712,15.74765944480896,0,0,0,0,0,0,0,0,0,0,0.04699206352233887,,,0
1,44.17333333333333,40.626666666666665,44.16,43.413333333333334,43.333333333333336,1.683917374610901,1.6425937032699587,1.64760781288147,1.6520019388198854,1.5959376955032347,"[42.0, 34.66666666666667, 40.0, 38.0, 44.17333333333333]","[36.666666666666664, 31.333333333333336, 34.66666666666667, 36.0, 40.626666666666665]","[38.666666666666664, 35.333333333333336, 37.333333333333336, 45.33333333333333, 44.16]","[37.333333333333336, 38.0, 38.0, 38.0, 43.413333333333334]","[37.333333333333336, 40.0, 38.666666666666664, 34.0, 43.333333333333336]","[1.8509183883666993, 1.7160955905914306, 1.6614866495132445, 1.6157800674438476, 1.5753061771392822]","[1.7912301301956177, 1.669499969482422, 1.6256627082824706, 1.5712780952453613, 1.555297613143921]","[1.8028497695922852, 1.684754991531372, 1.6228845834732055, 1.5784312725067138, 1.549118447303772]","[1.8009429693222045, 1.6799288988113403, 1.6268712520599364, 1.5891294717788695, 1.5631371021270752]","[1.7594632625579834, 1.631721568107605, 1.5718095779418946, 1.5258736848831176, 1.4908203840255738]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479,0.0,15.622431755065918,15.447144985198975,15.4569411277771,15.202333688735962,15.428609848022461,0,0,0,0,0,0,0,0,0,0,0.048351287841796875,,,0
2,47.12,46.17333333333333,45.85333333333333,45.54666666666667,45.36,1.5790771293640136,1.5507253313064573,1.5425002622604371,1.5562648057937623,1.5091431045532226,"[44.0, 47.333333333333336, 50.66666666666667, 52.666666666666664, 47.12]","[46.0, 41.333333333333336, 48.66666666666667, 44.666666666666664, 46.17333333333333]","[47.333333333333336, 44.666666666666664, 41.333333333333336, 51.33333333333333, 45.85333333333333]","[43.333333333333336, 42.66666666666667, 43.333333333333336, 47.333333333333336, 45.54666666666667]","[49.333333333333336, 55.333333333333336, 47.333333333333336, 47.333333333333336, 45.36]","[1.7316843748092652, 1.591161060333252, 1.553972315788269, 1.5348124742507934, 1.4837554216384887]","[1.686770462989807, 1.5780590295791626, 1.5453218698501587, 1.4889055013656616, 1.4545697927474976]","[1.682123351097107, 1.565621519088745, 1.524865484237671, 1.4809935808181762, 1.4588973760604858]","[1.7148783922195434, 1.5759573459625245, 1.5307284116744995, 1.4873503684997558, 1.4724095106124877]","[1.66123206615448, 1.522239327430725, 1.4877308130264282, 1.4588575839996338, 1.4156557321548462]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4766,0.0,15.317458629608154,15.035801887512207,15.11838173866272,15.167280435562134,15.561078071594238,0,0,0,0,0,0,0,0,0,0,0.05184364318847656,,,0
3,49.76,50.21333333333333,48.973333333333336,49.78666666666667,49.8,1.4962875604629517,1.4527648210525512,1.4653424978256226,1.419401264190674,1.447029962539673,"[42.66666666666667, 44.666666666666664, 50.0, 48.0, 49.76]","[43.333333333333336, 44.666666666666664, 45.33333333333333, 48.66666666666667, 50.21333333333333]","[46.666666666666664, 44.666666666666664, 48.0, 49.333333333333336, 48.973333333333336]","[48.0, 44.0, 42.0, 43.333333333333336, 49.78666666666667]","[49.333333333333336, 49.333333333333336, 48.0, 52.666666666666664, 49.8]","[1.6576924324035645, 1.522701048851013, 1.465403437614441, 1.4353011846542358, 1.400339698791504]","[1.604041862487793, 1.4653368711471557, 1.435292410850525, 1.3920323610305787, 1.3671205997467042]","[1.6294457912445068, 1.484536623954773, 1.430645799636841, 1.4090521574020385, 1.3730321168899535]","[1.5398280620574951, 1.442986249923706, 1.4210467338562012, 1.3743309497833252, 1.3188143253326416]","[1.5749415636062623, 1.4758591890335082, 1.425943088531494, 1.3971135854721068, 1.3612923860549926]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5078,0.0,15.262032270431519,15.748636960983276,15.11467957496643,15.477383375167847,15.383668661117554,0,0,0,0,0,0,0,0,0,0,0.0485997200012207,,,0
4,51.733333333333334,51.49333333333333,50.63999999999999,52.559999999999995,48.02666666666667,1.4010073518753052,1.3505124950408938,1.3802031564712522,1.3927174043655395,1.323271884918213,"[48.66666666666667, 48.66666666666667, 44.666666666666664, 48.0, 51.733333333333334]","[46.0, 48.0, 55.333333333333336, 52.0, 51.49333333333333]","[52.666666666666664, 46.666666666666664, 50.66666666666667, 49.333333333333336, 50.63999999999999]","[49.333333333333336, 54.0, 48.66666666666667, 53.333333333333336, 52.559999999999995]","[50.66666666666667, 49.333333333333336, 55.333333333333336, 54.666666666666664, 48.02666666666667]","[1.582966113090515, 1.4216111660003663, 1.370035433769226, 1.3222432374954223, 1.308180809020996]","[1.5184327363967896, 1.3576623916625976, 1.332295870780945, 1.2949417352676391, 1.2492297410964965]","[1.5249843835830688, 1.4112145185470581, 1.3662643432617188, 1.320341372489929, 1.2782111644744873]","[1.5517837285995484, 1.415936255455017, 1.3678147077560425, 1.3299534320831299, 1.29809889793396]","[1.484805989265442, 1.3387489318847656, 1.307055449485779, 1.259984302520752, 1.2257647514343262]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249,0.0,15.299136638641357,15.217709302902222,15.662203788757324,15.339982271194458,15.433002948760986,0,0,0,0,0,0,0,0,0,0,0.04806375503540039,,,0
5,54.58666666666666,53.266666666666666,54.67999999999999,52.6,54.78666666666666,1.3296021175384523,1.2892385196685792,1.2800116348266601,1.2946610689163207,1.2526768064498903,"[49.333333333333336, 60.0, 56.00000000000001, 61.33333333333333, 54.58666666666666]","[54.666666666666664, 55.333333333333336, 55.333333333333336, 53.333333333333336, 53.266666666666666]","[48.0, 49.333333333333336, 51.33333333333333, 51.33333333333333, 54.67999999999999]","[53.333333333333336, 54.0, 55.333333333333336, 53.333333333333336, 52.6]","[50.66666666666667, 48.66666666666667, 54.0, 55.333333333333336, 54.78666666666666]","[1.482114028930664, 1.3566234111785889, 1.2925612449645996, 1.2754865884780884, 1.2412253141403198]","[1.4571669340133666, 1.3118630409240724, 1.2557582139968873, 1.2286084651947022, 1.1927959442138671]","[1.4293245553970337, 1.2964041471481322, 1.2539745330810548, 1.2253897428512572, 1.1949651956558227]","[1.4472541809082031, 1.3170475721359254, 1.2659460067749024, 1.236519742012024, 1.2065378427505493]","[1.4022480964660644, 1.2880010843276977, 1.2350894927978515, 1.1891748666763307, 1.1488704919815063]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.0,15.283509492874146,15.115099430084229,15.200514078140259,15.307505130767822,15.162070989608765,0,0,0,0,0,0,0,0,0,0,0.05657219886779785,,,0
6,54.6,56.32,54.72,56.44,55.120000000000005,1.2605435800552367,1.1970032787323,1.249553484916687,1.254522385597229,1.1835588121414182,"[58.666666666666664, 60.66666666666667, 61.33333333333333, 60.0, 54.6]","[52.666666666666664, 54.0, 60.0, 52.0, 56.32]","[41.333333333333336, 57.99999999999999, 57.99999999999999, 56.00000000000001, 54.72]","[59.333333333333336, 59.333333333333336, 57.99999999999999, 64.0, 56.44]","[56.666666666666664, 55.333333333333336, 56.666666666666664, 60.66666666666667, 55.120000000000005]","[1.420650577545166, 1.2751159906387328, 1.2396586894989015, 1.198451852798462, 1.1688407897949218]","[1.3596140623092652, 1.2260740280151368, 1.1678548097610473, 1.1361412048339843, 1.0953322887420653]","[1.4060994625091552, 1.2636378288269043, 1.2124576568603516, 1.1921669244766235, 1.1734055519104003]","[1.436655330657959, 1.2677499771118164, 1.2278507471084594, 1.1789430379867554, 1.1614128351211548]","[1.3189786195755004, 1.206627869606018, 1.1651880741119385, 1.1261208057403564, 1.100878691673279]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5712,0.0,15.279551029205322,15.387686729431152,15.195092678070068,14.929113864898682,15.185084342956543,0,0,0,0,0,0,0,0,0,0,0.04888010025024414,,,0
7,57.52,57.64,55.52,57.46666666666667,56.053333333333335,1.1936459040641783,1.1910364937782287,1.1947484683990477,1.182731099128723,1.1375825309753418,"[54.0, 58.666666666666664, 58.666666666666664, 56.00000000000001, 57.52]","[61.33333333333333, 65.33333333333333, 56.00000000000001, 68.66666666666667, 57.64]","[57.99999999999999, 57.99999999999999, 56.666666666666664, 56.666666666666664, 55.52]","[59.333333333333336, 62.0, 55.333333333333336, 60.0, 57.46666666666667]","[56.666666666666664, 60.66666666666667, 64.0, 54.666666666666664, 56.053333333333335]","[1.360968017578125, 1.233561635017395, 1.1608581066131591, 1.1243465900421143, 1.088495171070099]","[1.3752326488494873, 1.1982376098632812, 1.1643007755279542, 1.1242320656776428, 1.0931793689727782]","[1.3689805269241333, 1.202985954284668, 1.1717957258224487, 1.118854808807373, 1.1111253261566163]","[1.3557618379592895, 1.1950928449630738, 1.1496176600456238, 1.1257814407348632, 1.0874017119407653]","[1.295693325996399, 1.1479483127593995, 1.1081447362899781, 1.0853836059570312, 1.0507426738739014]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804,0.0,15.254732131958008,15.299264669418335,15.412060022354126,15.115516424179077,15.356032609939575,0,0,0,0,0,0,0,0,0,0,0.05213284492492676,,,0
8,58.01333333333333,56.64,56.29333333333333,56.89333333333333,57.84,1.187093687057495,1.1530712413787843,1.138783357143402,1.144492163658142,1.1153072118759155,"[54.666666666666664, 60.0, 62.0, 60.0, 58.01333333333333]","[62.0, 62.0, 66.0, 66.66666666666666, 56.64]","[54.666666666666664, 55.333333333333336, 51.33333333333333, 49.333333333333336, 56.29333333333333]","[54.666666666666664, 62.66666666666667, 64.0, 60.66666666666667, 56.89333333333333]","[55.333333333333336, 59.333333333333336, 52.0, 55.333333333333336, 57.84]","[1.3477073669433595, 1.2192753076553344, 1.1546659231185914, 1.124322199821472, 1.0894976377487182]","[1.3139498233795166, 1.1773791313171387, 1.1193096399307252, 1.0896249055862426, 1.0650927066802978]","[1.2642359972000121, 1.1803362607955932, 1.117872142791748, 1.0816083908081056, 1.0498639941215515]","[1.3207705974578858, 1.1715358734130858, 1.1063493967056275, 1.0756919860839844, 1.048112964630127]","[1.2916985988616942, 1.109548854827881, 1.0950998783111572, 1.0483654022216797, 1.0318233251571656]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5863,0.0,15.513594388961792,15.33540391921997,15.398039102554321,15.249483108520508,15.468592166900635,0,0,0,0,0,0,0,0,0,0,0.053430795669555664,,,0
9,59.13333333333334,57.76,58.24,58.82666666666667,57.42666666666667,1.1090214729309082,1.0945727252960205,1.1017750167846678,1.0778211069107055,1.0634602069854737,"[54.666666666666664, 58.666666666666664, 62.66666666666667, 68.0, 59.13333333333334]","[60.0, 65.33333333333333, 62.66666666666667, 68.0, 57.76]","[60.0, 62.0, 64.0, 63.33333333333333, 58.24]","[58.666666666666664, 59.333333333333336, 58.666666666666664, 61.33333333333333, 58.82666666666667]","[58.666666666666664, 64.0, 64.66666666666666, 64.66666666666666, 57.42666666666667]","[1.282259726524353, 1.12670578956604, 1.0884284973144531, 1.0396092295646668, 1.0081041216850282]","[1.2603404998779297, 1.1224085211753845, 1.059334659576416, 1.025475060939789, 1.0053048849105835]","[1.257803750038147, 1.116557502746582, 1.089396631717682, 1.0340733170509337, 1.0110438823699952]","[1.2918182611465454, 1.0884436130523683, 1.030238401889801, 1.0070987582206725, 0.9715065002441406]","[1.225203847885132, 1.0831860303878784, 1.0185193181037904, 1.007712149620056, 0.9826796889305115]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592,0.0,14.943897724151611,14.947861433029175,15.175102949142456,15.385438680648804,15.64976954460144,0,0,0,0,0,0,0,0,0,0,0.04903364181518555,,,0
