,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_loss_2,client_loss_0,client_loss_1,client_loss_4,client_loss_3,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch1,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_loss_per_epoch2,client_loss_per_epoch0,client_loss_per_epoch1,client_loss_per_epoch4,client_loss_per_epoch3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,34.973333333333336,35.10666666666667,36.22666666666667,35.45333333333333,33.53333333333333,2.497989592552185,2.4828265857696534,2.4694625043869016,2.4597967863082886,2.4969869279861454,"[25.333333333333336, 32.666666666666664, 32.666666666666664, 31.333333333333336, 34.973333333333336]","[38.666666666666664, 42.0, 39.33333333333333, 40.666666666666664, 35.10666666666667]","[29.333333333333332, 28.666666666666668, 32.666666666666664, 31.333333333333336, 36.22666666666667]","[26.0, 38.666666666666664, 37.333333333333336, 37.333333333333336, 35.45333333333333]","[37.333333333333336, 37.333333333333336, 39.33333333333333, 38.666666666666664, 33.53333333333333]","[4.008600664138794, 2.488944387435913, 2.0969479084014893, 1.9834458112716675, 1.9120091915130615]","[4.008231830596924, 2.4859762668609617, 2.0758081674575806, 1.9522322177886964, 1.891884446144104]","[4.025722599029541, 2.455536365509033, 2.0555646896362303, 1.9436746835708618, 1.8668141841888428]","[4.010064601898193, 2.4594993114471437, 2.0459478855133058, 1.921610450744629, 1.8618616819381715]","[4.018413114547729, 2.4864378929138184, 2.10125846862793, 1.9774041891098022, 1.9014209747314452]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3696,0.0,20.77383828163147,17.238208532333374,17.568485021591187,17.477480173110962,17.321626901626587,0,0,0,0,0,0,0,0,0,0,0.048914194107055664,,,0
1,41.66666666666667,43.13333333333333,44.12,44.6,39.36,1.7607289791107177,1.726937961578369,1.689917788505554,1.6851658391952515,1.7514701557159422,"[45.33333333333333, 37.333333333333336, 38.666666666666664, 36.666666666666664, 41.66666666666667]","[36.0, 38.666666666666664, 34.0, 32.0, 43.13333333333333]","[36.666666666666664, 33.33333333333333, 32.666666666666664, 40.666666666666664, 44.12]","[32.0, 36.0, 38.0, 45.33333333333333, 44.6]","[42.0, 43.333333333333336, 42.66666666666667, 41.333333333333336, 39.36]","[1.9220032215118408, 1.8049457788467407, 1.7177536249160767, 1.6935401916503907, 1.66540207862854]","[1.9032370567321777, 1.7632031440734863, 1.7025600910186767, 1.647480344772339, 1.618209171295166]","[1.8556931972503663, 1.7181605339050292, 1.6572629690170289, 1.6258538246154786, 1.5926184177398681]","[1.8482113361358643, 1.7209540128707885, 1.6582485437393188, 1.6165265798568726, 1.5818887233734131]","[1.9164814233779908, 1.7793966054916381, 1.7188645601272583, 1.6927921056747437, 1.649816083908081]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4617,0.0,16.934417009353638,16.76759934425354,17.064359426498413,16.62306809425354,16.954439878463745,0,0,0,0,0,0,0,0,0,0,0.0431365966796875,,,0
2,43.98666666666667,44.57333333333333,42.84,48.77333333333333,47.06666666666667,1.6404558801651004,1.5961221742630005,1.565230779647827,1.5665453290939333,1.6118310308456423,"[41.333333333333336, 41.333333333333336, 43.333333333333336, 42.66666666666667, 43.98666666666667]","[48.66666666666667, 50.0, 48.0, 54.666666666666664, 44.57333333333333]","[46.0, 35.333333333333336, 50.0, 41.333333333333336, 42.84]","[45.33333333333333, 44.666666666666664, 50.66666666666667, 54.666666666666664, 48.77333333333333]","[48.0, 39.33333333333333, 48.0, 42.0, 47.06666666666667]","[1.7970354557037354, 1.6630497694015502, 1.6230557918548585, 1.5814322471618651, 1.5377061367034912]","[1.7300644636154174, 1.635610008239746, 1.569848895072937, 1.5421297073364257, 1.5029577970504762]","[1.6898952960968017, 1.5874186277389526, 1.5531808614730835, 1.507927656173706, 1.4877314567565918]","[1.7190829038619995, 1.594337558746338, 1.543651556968689, 1.5049481868743897, 1.4707064390182496]","[1.7566846370697022, 1.6387327671051026, 1.5908149003982544, 1.5581578731536865, 1.5147649765014648]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918,0.0,16.521332502365112,16.633793115615845,16.601516008377075,16.387689352035522,16.59394645690918,0,0,0,0,0,0,0,0,0,0,0.04200291633605957,,,0
3,48.32,47.053333333333335,52.46666666666666,49.519999999999996,47.72,1.5098091220855714,1.4449352836608889,1.4501613569259644,1.434870128631592,1.4788115310668943,"[46.666666666666664, 43.333333333333336, 44.0, 46.0, 48.32]","[51.33333333333333, 36.0, 52.666666666666664, 48.66666666666667, 47.053333333333335]","[49.333333333333336, 56.00000000000001, 49.333333333333336, 56.00000000000001, 52.46666666666666]","[38.0, 46.0, 49.333333333333336, 48.66666666666667, 49.519999999999996]","[42.66666666666667, 48.0, 50.0, 51.33333333333333, 47.72]","[1.6765641450881958, 1.5312344551086425, 1.4841984748840331, 1.449272871017456, 1.4077756643295287]","[1.598263430595398, 1.46603524684906, 1.424230170249939, 1.3847198009490966, 1.3514277696609498]","[1.6179112195968628, 1.47259361743927, 1.4128356456756592, 1.4040619373321532, 1.3434043645858764]","[1.6022446870803833, 1.461682343482971, 1.4028291702270508, 1.369575572013855, 1.3380188703536988]","[1.6049302101135254, 1.521349024772644, 1.462458896636963, 1.415052556991577, 1.3902669668197631]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279,0.0,16.379674434661865,16.50567626953125,16.396036863327026,16.387837648391724,16.607829332351685,0,0,0,0,0,0,0,0,0,0,0.04273223876953125,,,0
4,54.84,52.82666666666667,49.46666666666666,53.14666666666666,55.52,1.4142881059646606,1.3559937143325804,1.3442894315719605,1.3545324611663818,1.3674007749557497,"[55.333333333333336, 52.666666666666664, 57.333333333333336, 44.666666666666664, 54.84]","[49.333333333333336, 46.0, 50.66666666666667, 55.333333333333336, 52.82666666666667]","[55.333333333333336, 50.66666666666667, 52.666666666666664, 54.666666666666664, 49.46666666666666]","[52.666666666666664, 48.66666666666667, 53.333333333333336, 51.33333333333333, 53.14666666666666]","[39.33333333333333, 48.66666666666667, 49.333333333333336, 49.333333333333336, 55.52]","[1.5679564714431762, 1.4350133895874024, 1.39002206325531, 1.3474566221237183, 1.3309919834136963]","[1.5222336769104003, 1.3907602548599243, 1.325810480117798, 1.2900668621063232, 1.2510972976684571]","[1.4892616271972656, 1.3803641319274902, 1.3313435792922974, 1.278921127319336, 1.2415566921234131]","[1.5404109239578248, 1.3662508249282836, 1.3409166097640992, 1.279569721221924, 1.2455142259597778]","[1.5234718799591065, 1.3954149723052978, 1.3266221046447755, 1.3163148641586304, 1.2751800537109375]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537,0.0,16.47010612487793,16.554280042648315,16.61814546585083,16.420995950698853,16.53019690513611,0,0,0,0,0,0,0,0,0,0,0.04243946075439453,,,0
5,55.45333333333333,54.45333333333333,54.693333333333335,58.040000000000006,57.69333333333333,1.3403423690795901,1.281722273826599,1.273740658760071,1.257554473876953,1.2781047153472902,"[44.666666666666664, 48.66666666666667, 49.333333333333336, 51.33333333333333, 55.45333333333333]","[50.66666666666667, 57.99999999999999, 62.0, 56.00000000000001, 54.45333333333333]","[44.666666666666664, 60.66666666666667, 60.0, 57.99999999999999, 54.693333333333335]","[50.0, 43.333333333333336, 63.33333333333333, 50.0, 58.040000000000006]","[53.333333333333336, 52.666666666666664, 53.333333333333336, 54.0, 57.69333333333333]","[1.5309021949768067, 1.350226354598999, 1.2990061283111571, 1.272947573661804, 1.248629593849182]","[1.4569810152053833, 1.307323122024536, 1.2564868450164794, 1.2007002115249634, 1.1871201753616334]","[1.4532505035400392, 1.2868597984313965, 1.244275403022766, 1.2066615343093872, 1.1776560544967651]","[1.3977296590805053, 1.3048051357269288, 1.226362657546997, 1.1941365480422974, 1.164738368988037]","[1.4332953929901122, 1.3113150358200074, 1.2415899991989137, 1.209723162651062, 1.194599986076355]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576,0.0,16.109604120254517,16.557958602905273,16.481394052505493,16.283856868743896,16.521625518798828,0,0,0,0,0,0,0,0,0,0,0.042713165283203125,,,0
6,57.653333333333336,56.29333333333333,58.34666666666667,55.76,56.77333333333333,1.3102039909362795,1.2196311569213867,1.2013370370864869,1.2121107864379883,1.2319294452667235,"[52.0, 61.33333333333333, 65.33333333333333, 56.00000000000001, 57.653333333333336]","[48.66666666666667, 62.0, 61.33333333333333, 64.0, 56.29333333333333]","[46.0, 59.333333333333336, 56.00000000000001, 57.99999999999999, 58.34666666666667]","[52.666666666666664, 62.66666666666667, 59.333333333333336, 64.0, 55.76]","[46.666666666666664, 56.00000000000001, 52.0, 53.333333333333336, 56.77333333333333]","[1.4938966751098632, 1.337787103652954, 1.2673020362854004, 1.2388229370117188, 1.2132112026214599]","[1.3915757417678833, 1.2182510375976563, 1.2078042030334473, 1.1440282583236694, 1.1364965438842773]","[1.3879871845245362, 1.2158573389053344, 1.159640645980835, 1.143333339691162, 1.0998666763305665]","[1.3739483594894408, 1.2466094255447389, 1.1828641653060914, 1.1386175513267518, 1.1185144305229187]","[1.3999775409698487, 1.2533967733383178, 1.2003321886062621, 1.173698091506958, 1.1322426319122314]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6007,0.0,16.28239893913269,16.382187604904175,16.540019512176514,16.40923500061035,16.414840936660767,0,0,0,0,0,0,0,0,0,0,0.04301738739013672,,,0
7,46.36,59.599999999999994,59.74666666666667,50.50666666666667,57.199999999999996,1.2077139949798583,1.1518235778808592,1.1304663157463073,1.1481152606010436,1.1710460305213928,"[60.0, 54.666666666666664, 56.00000000000001, 59.333333333333336, 46.36]","[53.333333333333336, 58.666666666666664, 50.66666666666667, 62.0, 59.599999999999994]","[37.333333333333336, 60.0, 65.33333333333333, 62.66666666666667, 59.74666666666667]","[60.66666666666667, 60.0, 64.0, 58.666666666666664, 50.50666666666667]","[32.666666666666664, 62.66666666666667, 60.0, 60.0, 57.199999999999996]","[1.3866578817367554, 1.2198582887649536, 1.1724670648574829, 1.1465253591537476, 1.1130613803863525]","[1.334367847442627, 1.1583595991134643, 1.118527340888977, 1.094976043701172, 1.0528870582580567]","[1.3040710926055907, 1.1637144327163695, 1.079145336151123, 1.0588772177696228, 1.0465234994888306]","[1.3032041549682618, 1.1698330640792847, 1.1230788469314574, 1.0832615494728088, 1.0611986875534059]","[1.3341954946517944, 1.21067271232605, 1.1505879402160644, 1.090189242362976, 1.0695847630500794]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5993,0.0,16.287004232406616,16.23228430747986,16.30549430847168,16.312994480133057,16.340590953826904,0,0,0,0,0,0,0,0,0,0,0.04414010047912598,,,0
8,60.12,60.760000000000005,49.54666666666667,61.693333333333335,57.02666666666667,1.1556184387207034,1.0886009073257443,1.0648761606216433,1.0876522660255432,1.1052994990348814,"[64.0, 58.666666666666664, 57.333333333333336, 54.666666666666664, 60.12]","[57.333333333333336, 60.66666666666667, 64.66666666666666, 61.33333333333333, 60.760000000000005]","[54.666666666666664, 47.333333333333336, 52.0, 52.666666666666664, 49.54666666666667]","[54.666666666666664, 58.666666666666664, 60.0, 66.66666666666666, 61.693333333333335]","[46.666666666666664, 50.66666666666667, 52.666666666666664, 44.666666666666664, 57.02666666666667]","[1.358670711517334, 1.1658109426498413, 1.1149037599563598, 1.0811847567558288, 1.0575220227241515]","[1.2674930334091186, 1.1001558542251586, 1.0466903686523437, 1.028369140625, 1.000296139717102]","[1.2225641012191772, 1.1108384728431702, 1.0305982947349548, 1.0063845038414, 0.953995430469513]","[1.2504253149032594, 1.1120825171470643, 1.0661991238594055, 1.008322048187256, 1.0012323260307312]","[1.2991598129272461, 1.1237128973007202, 1.0591285705566407, 1.0398887872695923, 1.0046074271202088]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6155,0.0,16.41757845878601,16.384997844696045,16.34958004951477,16.378010749816895,16.70596981048584,0,0,0,0,0,0,0,0,0,0,0.041574716567993164,,,0
9,47.693333333333335,55.333333333333336,58.77333333333333,61.626666666666665,61.093333333333334,1.1458552622795104,1.0569456315040588,1.0669478034973143,1.0469623184204102,1.0740139365196226,"[63.33333333333333, 66.0, 65.33333333333333, 64.0, 47.693333333333335]","[52.666666666666664, 59.333333333333336, 59.333333333333336, 57.99999999999999, 55.333333333333336]","[52.666666666666664, 66.0, 60.0, 60.66666666666667, 58.77333333333333]","[57.333333333333336, 62.0, 64.0, 62.66666666666667, 61.626666666666665]","[40.666666666666664, 57.333333333333336, 68.66666666666667, 72.66666666666667, 61.093333333333334]","[1.3324300289154052, 1.1707231640815734, 1.1128607034683227, 1.0667192459106445, 1.0465431690216065]","[1.232576596736908, 1.0567125082015991, 1.0268821835517883, 1.0056436657905579, 0.962913203239441]","[1.2765989780426026, 1.0733845949172973, 1.0408740639686584, 0.990668785572052, 0.9532125949859619]","[1.2025883674621582, 1.1036276340484619, 1.0145566940307618, 0.9717517495155334, 0.9422871470451355]","[1.2462015867233276, 1.108473014831543, 1.0438864946365356, 0.9982146501541138, 0.973293936252594]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5927,0.0,16.115464210510254,16.134982347488403,16.184013843536377,16.262585163116455,16.282074689865112,0,0,0,0,0,0,0,0,0,0,0.04116559028625488,,,0
