,client_accuracy_3,client_accuracy_0,client_accuracy_4,client_accuracy_1,client_accuracy_2,client_loss_3,client_loss_0,client_loss_4,client_loss_1,client_loss_2,client_accuracy_per_epoch3,client_accuracy_per_epoch0,client_accuracy_per_epoch4,client_accuracy_per_epoch1,client_accuracy_per_epoch2,client_loss_per_epoch3,client_loss_per_epoch0,client_loss_per_epoch4,client_loss_per_epoch1,client_loss_per_epoch2,client_attack_3,client_attack_0,client_attack_4,client_attack_1,client_attack_2,client_auc_3,client_auc_0,client_auc_4,client_auc_1,client_auc_2,server_attack,server_accuracy,server_auc,client_round_duration_3,client_round_duration_0,client_round_duration_4,client_round_duration_1,client_round_duration_2,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,10.37179777828157,23.226025844479707,8.19542053956019,15.722058490138291,14.112446157333938,2.8258704662323,2.7344355742136637,2.6610577980677284,2.6273353020350134,2.703794066111247,"[7.909604519774012, 3.389830508474576, 2.824858757062147, 6.214689265536723, 10.37179777828157]","[2.824858757062147, 2.824858757062147, 8.47457627118644, 4.519774011299435, 23.226025844479707]","[7.344632768361582, 7.344632768361582, 7.344632768361582, 7.344632768361582, 8.19542053956019]","[4.519774011299435, 2.824858757062147, 6.779661016949152, 9.6045197740113, 15.722058490138291]","[6.214689265536723, 3.954802259887006, 9.03954802259887, 7.344632768361582, 14.112446157333938]","[4.078232407569885, 3.0893733501434326, 2.708873669306437, 2.251379450162252, 2.001493453979492]","[4.129984060923259, 2.9863762855529785, 2.5382754802703857, 2.275337795416514, 1.7422042489051819]","[4.239340305328369, 2.871538837750753, 2.5080724159876504, 2.066628853480021, 1.6197085777918498]","[3.967042843500773, 3.0232664346694946, 2.4953617652257285, 2.047193626562754, 1.6038118402163188]","[4.0689475536346436, 3.124465902646383, 2.4807503620783486, 2.1571954488754272, 1.6876110633214314]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054067839836776335,0.0,13.90441346168518,13.975035905838013,14.155754089355469,14.22068476676941,14.084914207458496,0,0,0,0,0,0,0,0,0,0,0.4270784854888916,,,0
1,49.17252323736114,53.5252777148039,53.76331897528905,55.75833144411698,44.50238041260485,2.1963347514470417,1.9068758487701416,1.9971862594286602,1.855897678931554,2.2079882502555845,"[10.734463276836157, 14.124293785310735, 34.463276836158194, 36.72316384180791, 49.17252323736114]","[19.2090395480226, 36.15819209039548, 31.07344632768362, 46.89265536723164, 53.5252777148039]","[12.429378531073446, 26.55367231638418, 37.28813559322034, 42.3728813559322, 53.76331897528905]","[13.559322033898304, 29.37853107344633, 35.02824858757062, 46.89265536723164, 55.75833144411698]","[14.124293785310735, 22.598870056497177, 37.28813559322034, 42.93785310734463, 44.50238041260485]","[3.7260462443033853, 2.4151872793833413, 1.9366150101025899, 1.577725390593211, 1.3260998328526814]","[3.494685192902883, 2.1567298571268716, 1.6582200328509014, 1.218806008497874, 1.0059381524721782]","[3.561257859071096, 2.358737508455912, 1.6650233666102092, 1.3665462136268616, 1.0343663493792217]","[3.48275226354599, 2.006272276242574, 1.5526811877886455, 1.377786099910736, 0.8599965671698252]","[3.5819273392359414, 2.7127546072006226, 2.0057557622591653, 1.5401429931322734, 1.1993605494499207]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4011731701096659,0.0,14.399377346038818,13.984845638275146,14.317613124847412,14.067157506942749,14.214808702468872,0,0,0,0,0,0,0,0,0,0,0.4280405044555664,,,0
2,79.10904556789843,80.32192246656086,76.56993878939016,82.38494672409884,76.64928587621854,1.4009228269259133,1.2779184073209764,1.2490140597025552,1.1995065927505493,1.2009822765986125,"[33.89830508474576, 51.9774011299435, 61.016949152542374, 70.62146892655367, 79.10904556789843]","[37.28813559322034, 55.932203389830505, 51.9774011299435, 67.2316384180791, 80.32192246656086]","[34.463276836158194, 59.32203389830508, 64.40677966101694, 64.97175141242938, 76.56993878939016]","[27.683615819209038, 48.0225988700565, 56.49717514124294, 77.96610169491525, 82.38494672409884]","[28.8135593220339, 60.451977401129945, 68.92655367231639, 79.09604519774011, 76.64928587621854]","[2.958102762699127, 1.716521640618642, 1.1275688608487446, 0.7421841224034628, 0.46023674805959064]","[3.1226797898610434, 1.4164109230041504, 0.982507199048996, 0.5581244031588236, 0.309869721531868]","[2.88040562470754, 1.550173242886861, 0.8808448513348898, 0.5355782508850098, 0.39806832869847614]","[2.741887927055359, 1.5435824791590373, 0.7771130700906118, 0.648036316037178, 0.2869131714105606]","[2.9074969490369162, 1.4070613483587902, 0.8230626583099365, 0.5333542277415594, 0.3339361995458603]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7334863555215506,0.0,14.147074937820435,14.078471422195435,14.292577266693115,14.232443571090698,14.452205419540405,0,0,0,0,0,0,0,0,0,0,0.410447359085083,,,0
3,94.11698027658127,93.70890954432102,91.96327363409658,93.22149172523237,93.04012695533893,0.7023802055666846,0.6909476925929388,0.6479038378844659,0.6539428309847912,0.630621146162351,"[51.41242937853108, 80.7909604519774, 87.00564971751412, 93.22033898305084, 94.11698027658127]","[25.423728813559322, 77.96610169491525, 87.00564971751412, 89.26553672316385, 93.70890954432102]","[57.06214689265536, 79.09604519774011, 84.18079096045197, 92.65536723163842, 91.96327363409658]","[54.23728813559322, 81.35593220338984, 88.13559322033898, 90.3954802259887, 93.22149172523237]","[58.19209039548022, 82.48587570621469, 92.09039548022598, 92.65536723163842, 93.04012695533893]","[2.374928668141365, 0.7258108307917913, 0.2413452093799909, 0.10894534861048062, 0.060870970909794174]","[2.2431907604138055, 0.738856703042984, 0.26825014501810074, 0.13283776367704073, 0.07160309081276257]","[2.20441143711408, 0.6045125077168146, 0.2220944513877233, 0.15416442106167474, 0.05433637214203676]","[2.291672041018804, 0.6216517984867096, 0.19361335535844168, 0.10068468376994133, 0.06209227629005909]","[2.1755122592051825, 0.5919954131046931, 0.23154068738222122, 0.0948055845995744, 0.05925178652008375]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8538638102524866,0.0,14.265674114227295,13.957381963729858,14.160232543945312,13.893538236618042,13.992759227752686,0,0,0,0,0,0,0,0,0,0,0.4130561351776123,,,0
4,96.49739288143279,96.66742235320788,95.25051008841533,96.0553162548175,95.9419632736341,0.5637789199749629,0.45631065635631474,0.5083652535453439,0.4658633258193731,0.4333528311302265,"[70.05649717514125, 96.61016949152543, 97.74011299435028, 98.30508474576271, 96.49739288143279]","[72.88135593220339, 88.70056497175142, 93.22033898305084, 94.91525423728814, 96.66742235320788]","[76.27118644067797, 88.13559322033898, 89.83050847457628, 94.35028248587571, 95.25051008841533]","[61.5819209039548, 93.22033898305084, 95.48022598870057, 95.48022598870057, 96.0553162548175]","[66.66666666666666, 93.22033898305084, 96.61016949152543, 98.87005649717514, 95.9419632736341]","[2.1806734253962836, 0.42699985454479855, 0.11789127439260483, 0.05627807229757309, 0.037051973243554435]","[1.855733836690585, 0.23740732421477637, 0.10342984894911449, 0.05425246246159077, 0.030729809465507667]","[2.0800419747829437, 0.2831188887357712, 0.09573333089550336, 0.048612874622146286, 0.034319198690354824]","[1.886871346582969, 0.3001946409543355, 0.07854421064257622, 0.039715695505340896, 0.023990735411643982]","[1.8168830598394077, 0.2242572158575058, 0.07236082417269547, 0.03206460426251093, 0.02119845151901245]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8872736546799286,0.0,14.54959511756897,13.970873355865479,14.108790874481201,14.060302019119263,14.236505031585693,0,0,0,0,0,0,0,0,0,0,0.5125651359558105,,,0
5,97.34754024030832,97.4268873271367,96.44071639084108,96.97347540240308,96.55406937202449,0.34509772810464107,0.4006638394358257,0.42236441156516474,0.35460670990869403,0.3100744780463477,"[71.75141242937853, 97.74011299435028, 98.30508474576271, 98.30508474576271, 97.34754024030832]","[87.57062146892656, 96.045197740113, 97.17514124293785, 97.74011299435028, 97.4268873271367]","[81.35593220338984, 92.65536723163842, 96.045197740113, 96.045197740113, 96.44071639084108]","[77.96610169491525, 93.78531073446328, 96.61016949152543, 97.17514124293785, 96.97347540240308]","[88.13559322033898, 97.74011299435028, 98.30508474576271, 98.30508474576271, 96.55406937202449]","[1.445667037119468, 0.19640293965737024, 0.04593438468873501, 0.022337631012002628, 0.015146648045629263]","[1.753748308867216, 0.15817810346682867, 0.048167724162340164, 0.02603698242455721, 0.01718807825818658]","[1.832811205337445, 0.1681235892077287, 0.06010696478188038, 0.030390356046458084, 0.020389942452311516]","[1.4759987766544025, 0.22012834499279657, 0.039758255084355675, 0.02176108428587516, 0.015387088526040316]","[1.3385053003827732, 0.13474180921912193, 0.041322244331240654, 0.021719701898594696, 0.014083334400008122]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8964549859729661,0.0,14.232577085494995,14.144630908966064,14.180179834365845,13.922544240951538,14.200020790100098,0,0,0,0,0,0,0,0,0,0,0.42839741706848145,,,0
6,98.1523464067105,98.36771707095897,97.60825209703016,97.71026978009522,97.44955792337339,0.32221293343851964,0.202280685895433,0.2565007157002886,0.29354202542454005,0.2769415286214401,"[78.53107344632768, 96.61016949152543, 97.74011299435028, 97.74011299435028, 98.1523464067105]","[84.7457627118644, 97.17514124293785, 97.17514124293785, 98.30508474576271, 98.36771707095897]","[89.26553672316385, 94.91525423728814, 98.30508474576271, 97.74011299435028, 97.60825209703016]","[88.13559322033898, 96.045197740113, 96.61016949152543, 97.17514124293785, 97.71026978009522]","[90.3954802259887, 97.74011299435028, 98.87005649717514, 98.87005649717514, 97.44955792337339]","[1.402975522602598, 0.15165657363831997, 0.0293684604888161, 0.015721484708289307, 0.011342625754574934]","[0.9100179808835188, 0.063936373218894, 0.01794420477623741, 0.011498817087461552, 0.008006053511053324]","[1.1490184602638085, 0.07964952041705449, 0.02841147656242053, 0.01510894096766909, 0.010315180290490389]","[1.3428074568510056, 0.07169865009685357, 0.025647601578384638, 0.016217199775079887, 0.011339218821376562]","[1.2529149471471708, 0.08189246741433938, 0.026603552823265392, 0.013783436734229326, 0.009513238988195857]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90640142820709,0.0,14.049551010131836,13.995505094528198,13.914973735809326,13.929956436157227,13.928984642028809,0,0,0,0,0,0,0,0,0,0,0.518667459487915,,,0
7,98.54908184085241,98.52641124461573,97.93697574246202,97.76694627068692,98.00498753117208,0.24434015726049743,0.23531203113185856,0.23736142183964457,0.26561227322866515,0.22522651713031028,"[89.83050847457628, 97.74011299435028, 97.74011299435028, 97.74011299435028, 98.54908184085241]","[91.52542372881356, 98.87005649717514, 99.43502824858757, 99.43502824858757, 98.52641124461573]","[92.65536723163842, 95.48022598870057, 97.74011299435028, 98.30508474576271, 97.93697574246202]","[84.18079096045197, 97.17514124293785, 98.30508474576271, 98.30508474576271, 97.76694627068692]","[92.09039548022598, 98.30508474576271, 98.87005649717514, 99.43502824858757, 98.00498753117208]","[1.1396303661167622, 0.04831058128426472, 0.01593692336852352, 0.010245952134331068, 0.007576963398605585]","[1.0993163132419188, 0.046327323031922184, 0.015150098130106926, 0.009159252357979616, 0.00660716889736553]","[1.0766345458105206, 0.06131753015021483, 0.026862640554706257, 0.013200976109753052, 0.00879141657302777]","[1.2069009970873594, 0.08104903654505809, 0.020166905441631872, 0.011423928197473288, 0.008520498871803284]","[1.0397291754682858, 0.05186832447846731, 0.016798125424732763, 0.010316372150555253, 0.007420588129510482]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9076766131089008,0.0,14.076533555984497,13.782735347747803,14.055911302566528,14.022660255432129,14.094715356826782,0,0,0,0,0,0,0,0,0,0,0.4175832271575928,,,0
8,98.7984583994559,98.88914078440263,98.27703468601224,98.44706415778734,98.16368170482885,0.2213327121610443,0.20388619979688277,0.16879521530742445,0.1976996016067763,0.15293374873387316,"[96.61016949152543, 99.43502824858757, 99.43502824858757, 99.43502824858757, 98.7984583994559]","[93.78531073446328, 97.17514124293785, 97.74011299435028, 97.74011299435028, 98.88914078440263]","[92.65536723163842, 97.74011299435028, 97.74011299435028, 97.74011299435028, 98.27703468601224]","[93.22033898305084, 96.61016949152543, 99.43502824858757, 99.43502824858757, 98.44706415778734]","[96.61016949152543, 98.87005649717514, 98.87005649717514, 99.43502824858757, 98.16368170482885]","[1.0525462764004867, 0.03021304588764906, 0.011046811627844969, 0.0073114135302603245, 0.005546013358980417]","[0.9766100778554877, 0.02388625591993332, 0.009273420398434004, 0.005409399125104149, 0.004251845685454707]","[0.7833477683986226, 0.03956793714314699, 0.009706195366258422, 0.006208119681105018, 0.005146055947989225]","[0.9350047723079721, 0.032714703430732094, 0.010373117635026574, 0.006047394514704744, 0.004358020145446062]","[0.7184676268758873, 0.027632306795567274, 0.00913353986106813, 0.005454253327722351, 0.003981016809120774]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9109920938536088,0.0,13.752895832061768,13.830053329467773,13.918360710144043,13.978907823562622,13.79212760925293,0,0,0,0,0,0,0,0,0,0,0.40793275833129883,,,0
9,99.02516436182272,98.87780548628429,98.6284289276808,98.85513489004761,98.66243482203582,0.12652971804297217,0.17390801428506772,0.1810159809732189,0.1881936031005656,0.16484704543836412,"[97.74011299435028, 98.87005649717514, 98.87005649717514, 98.30508474576271, 99.02516436182272]","[93.22033898305084, 98.87005649717514, 98.87005649717514, 98.87005649717514, 98.87780548628429]","[93.78531073446328, 99.43502824858757, 99.43502824858757, 100.0, 98.6284289276808]","[93.22033898305084, 97.74011299435028, 98.30508474576271, 98.87005649717514, 98.85513489004761]","[97.74011299435028, 99.43502824858757, 100.0, 99.43502824858757, 98.66243482203582]","[0.5979285213785867, 0.02013821480795741, 0.006357943716769417, 0.004529570500987272, 0.003694339810560147]","[0.7973375751947364, 0.04981687509765228, 0.010529147383446494, 0.006821964556972186, 0.005034509192531307]","[0.8608108842745423, 0.025902276393026114, 0.008245092118158937, 0.005613542472322782, 0.004508109608044227]","[0.9025515758742889, 0.02223011509825786, 0.007157464977353811, 0.005182365110764901, 0.0038464944421624145]","[0.7778162869314352, 0.025562617927789688, 0.009990262488524118, 0.006165618542581797, 0.00470044130148987]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9143075745983168,0.0,13.99984073638916,13.857038021087646,14.121600866317749,13.597504377365112,14.014383554458618,0,0,0,0,0,0,0,0,0,0,0.5285453796386719,,,0
