,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_loss_2,client_loss_0,client_loss_1,client_loss_4,client_loss_3,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch1,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_loss_per_epoch2,client_loss_per_epoch0,client_loss_per_epoch1,client_loss_per_epoch4,client_loss_per_epoch3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,30.320000000000004,30.226666666666667,31.093333333333334,29.906666666666666,30.2,2.432322707176209,2.4628377389907836,2.4171395301818848,2.4301456737518308,2.3147381925582886,"[24.666666666666668, 36.0, 36.0, 35.333333333333336, 30.320000000000004]","[22.666666666666664, 31.333333333333336, 33.33333333333333, 32.0, 30.226666666666667]","[30.666666666666664, 32.666666666666664, 32.666666666666664, 34.0, 31.093333333333334]","[22.666666666666664, 32.0, 29.333333333333332, 32.0, 29.906666666666666]","[20.0, 37.333333333333336, 36.0, 36.666666666666664, 30.2]","[3.8485742092132567, 2.321021795272827, 2.079926347732544, 1.9791381359100342, 1.9329530477523804]","[3.9242200374603273, 2.3900652885437013, 2.0443893671035767, 2.000643563270569, 1.9548704385757447]","[3.9358683586120606, 2.3234065055847166, 2.0172660827636717, 1.9226688146591187, 1.886487889289856]","[3.9516124725341797, 2.2157992839813234, 2.0677731037139893, 1.98722505569458, 1.928318452835083]","[3.623013162612915, 2.225826096534729, 1.9643697023391724, 1.8905615091323853, 1.8699204921722412]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3322,0.0,16.86840271949768,15.005090951919556,15.335928916931152,14.932291746139526,14.981586217880249,0,0,0,0,0,0,0,0,0,0,0.4128413200378418,,,0
1,32.96,39.413333333333334,31.266666666666666,35.70666666666666,39.32,1.9350489807128906,1.87970871925354,1.8691073369979858,1.7991081094741823,1.883018879890442,"[16.666666666666664, 31.333333333333336, 33.33333333333333, 31.333333333333336, 32.96]","[22.666666666666664, 23.333333333333332, 42.0, 42.0, 39.413333333333334]","[31.333333333333336, 32.0, 37.333333333333336, 38.0, 31.266666666666666]","[24.0, 25.333333333333336, 26.666666666666668, 32.0, 35.70666666666666]","[30.0, 31.333333333333336, 29.333333333333332, 32.0, 39.32]","[2.3274231433868406, 2.027858829498291, 1.8617922067642212, 1.7643518209457398, 1.6938189029693604]","[2.238260817527771, 1.9036978006362915, 1.8085752487182618, 1.7333037376403808, 1.7147059917449952]","[2.1431625366210936, 1.9384416580200194, 1.8220799684524536, 1.7497244834899903, 1.6921280384063722]","[2.0807216644287108, 1.8555050849914552, 1.7396928548812867, 1.6681659936904907, 1.6514549493789672]","[2.189771842956543, 1.9166648149490357, 1.8333553075790405, 1.7481049299240112, 1.7271975040435792]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3452,0.0,14.400237321853638,14.32353687286377,14.705135107040405,14.921745777130127,14.795124530792236,0,0,0,0,0,0,0,0,0,0,0.4184417724609375,,,0
2,40.906666666666666,35.88,39.96,38.34666666666667,37.53333333333334,1.6727971124649046,1.781748585700989,1.77121741771698,1.6818776321411133,1.7784339141845702,"[28.000000000000004, 28.666666666666668, 30.0, 32.0, 40.906666666666666]","[36.0, 44.0, 49.333333333333336, 44.666666666666664, 35.88]","[40.666666666666664, 38.0, 39.33333333333333, 41.333333333333336, 39.96]","[35.333333333333336, 34.66666666666667, 41.333333333333336, 40.0, 38.34666666666667]","[24.666666666666668, 38.0, 35.333333333333336, 34.66666666666667, 37.53333333333334]","[1.8316267251968383, 1.7181493282318114, 1.6495047092437745, 1.597353959083557, 1.5673508405685426]","[1.9217017412185669, 1.8596295356750487, 1.758914017677307, 1.7023995161056518, 1.6660981178283691]","[1.8989535331726075, 1.784054160118103, 1.7780892848968506, 1.721839690208435, 1.6731504201889038]","[1.8474779367446899, 1.7284965991973877, 1.6355464458465576, 1.617766523361206, 1.580100655555725]","[1.9089977025985718, 1.8159998893737792, 1.782658052444458, 1.7094173192977906, 1.675096607208252]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4076,0.0,14.699969053268433,14.52530837059021,14.845771312713623,14.85384225845337,14.558579206466675,0,0,0,0,0,0,0,0,0,0,0.43062424659729004,,,0
3,40.30666666666667,41.92,36.24,38.6,32.96,1.6237983274459835,1.6952577733993528,1.7065570068359375,1.6464842987060546,1.6860049295425417,"[34.0, 44.666666666666664, 43.333333333333336, 45.33333333333333, 40.30666666666667]","[41.333333333333336, 38.666666666666664, 30.666666666666664, 40.666666666666664, 41.92]","[44.666666666666664, 41.333333333333336, 40.666666666666664, 42.66666666666667, 36.24]","[44.0, 42.66666666666667, 40.666666666666664, 38.666666666666664, 38.6]","[40.666666666666664, 43.333333333333336, 44.0, 41.333333333333336, 32.96]","[1.7584938526153564, 1.6536818265914917, 1.603995394706726, 1.569304633140564, 1.5335159301757812]","[1.7869776248931886, 1.7219899892807007, 1.6619204759597779, 1.6759253025054932, 1.629475474357605]","[1.8347966909408568, 1.7513330936431886, 1.6782868385314942, 1.6404561758041383, 1.6279122352600097]","[1.7669736623764039, 1.6870984077453612, 1.6318596124649047, 1.5793870449066163, 1.5671027660369874]","[1.82083101272583, 1.719303035736084, 1.680910301208496, 1.638786745071411, 1.5701935529708861]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4126,0.0,14.17125916481018,14.767333030700684,14.328910112380981,14.75846529006958,14.558496475219727,0,0,0,0,0,0,0,0,0,0,0.4184701442718506,,,0
4,37.32,41.64,38.96,42.6,46.266666666666666,1.602431240081787,1.6365182828903198,1.5433425188064576,1.6021234560012818,1.6243966817855835,"[38.0, 40.0, 31.333333333333336, 44.0, 37.32]","[38.0, 38.666666666666664, 41.333333333333336, 38.0, 41.64]","[45.33333333333333, 30.666666666666664, 38.0, 50.0, 38.96]","[41.333333333333336, 46.666666666666664, 42.66666666666667, 47.333333333333336, 42.6]","[44.666666666666664, 38.0, 43.333333333333336, 44.0, 46.266666666666666]","[1.7371731519699096, 1.7011157751083374, 1.5643368482589721, 1.5232599020004272, 1.4862705230712892]","[1.7612582445144653, 1.6669706583023072, 1.6391072988510131, 1.592548394203186, 1.5227068185806274]","[1.710627031326294, 1.6300941228866577, 1.5300063133239745, 1.4595734834671021, 1.3864116430282594]","[1.7396979808807373, 1.6319970846176148, 1.5855432510375977, 1.5599531650543212, 1.4934257984161377]","[1.7906654596328735, 1.6666327238082885, 1.623296570777893, 1.5456250190734864, 1.495763635635376]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4436,0.0,14.6386079788208,14.70583176612854,14.522608518600464,14.629199981689453,14.572717428207397,0,0,0,0,0,0,0,0,0,0,0.41290974617004395,,,0
5,48.986666666666665,37.92,43.46666666666666,49.77333333333333,47.08,1.471847219467163,1.525098900794983,1.4440042972564697,1.354670557975769,1.4405683565139769,"[36.0, 50.66666666666667, 46.0, 38.666666666666664, 48.986666666666665]","[46.666666666666664, 49.333333333333336, 50.66666666666667, 48.0, 37.92]","[44.0, 47.333333333333336, 41.333333333333336, 52.0, 43.46666666666666]","[39.33333333333333, 42.0, 46.666666666666664, 40.0, 49.77333333333333]","[30.666666666666664, 35.333333333333336, 38.0, 39.33333333333333, 47.08]","[1.6863135814666748, 1.5914449214935302, 1.4542227029800414, 1.347727608680725, 1.2795272827148438]","[1.7107064962387084, 1.608793354034424, 1.5296112775802613, 1.4269221305847168, 1.3494612455368042]","[1.6438896656036377, 1.5615831375122071, 1.4595399856567384, 1.3180225372314454, 1.2369861602783203]","[1.5470173597335815, 1.4638939142227172, 1.3654271841049195, 1.2362384796142578, 1.160775852203369]","[1.6433878898620606, 1.5407622575759887, 1.4179687738418578, 1.3270910263061524, 1.2736318349838256]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4954,0.0,14.779452562332153,14.389832258224487,14.41684627532959,14.53835940361023,14.554636240005493,0,0,0,0,0,0,0,0,0,0,0.42022180557250977,,,0
6,51.18666666666667,53.92,44.053333333333335,50.36000000000001,53.6,1.2611754369735717,1.3400898694992065,1.2768361306190492,1.2292423391342164,1.2858804655075073,"[42.0, 54.0, 47.333333333333336, 50.0, 51.18666666666667]","[40.0, 50.0, 44.0, 52.0, 53.92]","[47.333333333333336, 52.666666666666664, 48.66666666666667, 51.33333333333333, 44.053333333333335]","[46.0, 38.0, 58.666666666666664, 56.666666666666664, 50.36000000000001]","[46.0, 49.333333333333336, 54.0, 49.333333333333336, 53.6]","[1.4906848430633546, 1.389995002746582, 1.2341170072555543, 1.1379591464996337, 1.0531211853027345]","[1.5812785863876342, 1.464808750152588, 1.3222480297088623, 1.2010384321212768, 1.1310755491256714]","[1.5224245548248292, 1.3883634805679321, 1.2153763055801392, 1.1669342756271361, 1.0910820364952087]","[1.4615142345428467, 1.3338048934936524, 1.2113522052764893, 1.1120787620544434, 1.0274616003036499]","[1.509480881690979, 1.3875735521316528, 1.2802833795547486, 1.1700044870376587, 1.0820600271224976]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5643,0.0,14.320921897888184,14.507359266281128,14.439850807189941,14.176548480987549,14.669278621673584,0,0,0,0,0,0,0,0,0,0,0.41863322257995605,,,0
7,53.46666666666666,59.973333333333336,57.21333333333334,59.36,59.10666666666666,1.1391650295257567,1.1728379392623902,1.131287648677826,1.102344126701355,1.100222270488739,"[52.0, 61.33333333333333, 67.33333333333333, 66.0, 53.46666666666666]","[55.333333333333336, 54.666666666666664, 56.00000000000001, 52.0, 59.973333333333336]","[46.666666666666664, 50.66666666666667, 52.0, 56.00000000000001, 57.21333333333334]","[60.0, 45.33333333333333, 62.66666666666667, 66.0, 59.36]","[56.00000000000001, 64.0, 66.0, 60.0, 59.10666666666666]","[1.3535120010375976, 1.2674747467041017, 1.1218341827392577, 1.0164063692092895, 0.9365978479385376]","[1.435799813270569, 1.2618226528167724, 1.1563193321228027, 1.0514477729797362, 0.9588001251220704]","[1.326291060447693, 1.2448610305786132, 1.1342930555343629, 1.0161436676979065, 0.9348494291305542]","[1.3217724323272706, 1.1731317281723022, 1.0985845685005189, 0.9861551642417907, 0.9320767402648926]","[1.334576153755188, 1.201293659210205, 1.0895182967185975, 0.9829560041427612, 0.8927672386169434]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6252,0.0,14.696510314941406,14.849424362182617,14.726441860198975,14.489993572235107,14.945133924484253,0,0,0,0,0,0,0,0,0,0,0.42997264862060547,,,0
8,58.666666666666664,59.94666666666667,62.54666666666666,57.74666666666667,62.96000000000001,1.0261008524894715,1.0300308346748352,1.0102390456199646,0.949332025051117,1.0134849572181701,"[54.0, 48.0, 60.0, 48.0, 58.666666666666664]","[52.666666666666664, 57.333333333333336, 58.666666666666664, 61.33333333333333, 59.94666666666667]","[53.333333333333336, 48.66666666666667, 48.0, 52.666666666666664, 62.54666666666666]","[62.66666666666667, 64.0, 61.33333333333333, 67.33333333333333, 57.74666666666667]","[57.99999999999999, 58.666666666666664, 60.0, 54.0, 62.96000000000001]","[1.2977419376373291, 1.0753563523292542, 1.0163145303726195, 0.9368280887603759, 0.8042633533477783]","[1.285446858406067, 1.1391837835311889, 0.9977603793144226, 0.9105560183525085, 0.817207133769989]","[1.278273594379425, 1.0854171752929687, 0.985835075378418, 0.8840854287147522, 0.817583954334259]","[1.206970739364624, 1.0499873995780944, 0.9321988582611084, 0.8208293080329895, 0.7366738200187684]","[1.2502545833587646, 1.0906286716461182, 0.9950735926628113, 0.9045475721359253, 0.8269203662872314]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6484,0.0,14.705346584320068,14.817656993865967,14.58954119682312,14.699612379074097,14.602693796157837,0,0,0,0,0,0,0,0,0,0,0.40488147735595703,,,0
9,56.946666666666665,60.94666666666667,63.18666666666667,64.33333333333333,62.73333333333333,0.9216655778884888,1.0109277915954589,0.9343566513061525,0.8707303309440613,0.963028254508972,"[54.0, 68.66666666666667, 69.33333333333334, 68.66666666666667, 56.946666666666665]","[46.0, 52.0, 57.99999999999999, 56.666666666666664, 60.94666666666667]","[50.66666666666667, 66.0, 67.33333333333333, 62.66666666666667, 63.18666666666667]","[66.66666666666666, 73.33333333333333, 74.66666666666667, 69.33333333333334, 64.33333333333333]","[47.333333333333336, 60.0, 61.33333333333333, 56.00000000000001, 62.73333333333333]","[1.1562480092048646, 1.021271252632141, 0.9057820439338684, 0.8096981763839721, 0.7153284072875976]","[1.2617352724075317, 1.1195098638534546, 0.9882527828216553, 0.8880179047584533, 0.7971231341362]","[1.212400496006012, 1.0449631571769715, 0.9116516590118409, 0.7915459990501403, 0.7112219452857971]","[1.141048538684845, 0.9337715744972229, 0.8415698051452637, 0.7564091563224793, 0.6808525800704956]","[1.2005682706832885, 1.0958377957344054, 0.910359513759613, 0.8582985162734985, 0.7500771760940552]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6563,0.0,14.689112663269043,14.556610822677612,15.015509366989136,14.92559266090393,14.820024490356445,0,0,0,0,0,0,0,0,0,0,0.42244505882263184,,,0
