,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_loss_2,client_loss_0,client_loss_1,client_loss_4,client_loss_3,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch1,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_loss_per_epoch2,client_loss_per_epoch0,client_loss_per_epoch1,client_loss_per_epoch4,client_loss_per_epoch3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,28.16,40.626666666666665,30.12,30.080000000000002,25.840000000000003,2.452918529510498,2.4076413488388058,2.2906166696548462,2.2942918157577514,2.414643893241882,"[23.333333333333332, 23.333333333333332, 23.333333333333332, 42.66666666666667, 28.16]","[22.0, 22.666666666666664, 20.666666666666668, 20.666666666666668, 40.626666666666665]","[34.0, 34.0, 34.0, 34.0, 30.12]","[21.333333333333336, 26.666666666666668, 26.666666666666668, 26.666666666666668, 30.080000000000002]","[24.666666666666668, 24.666666666666668, 28.000000000000004, 23.333333333333332, 25.840000000000003]","[4.420294332504272, 2.390731143951416, 1.885259461402893, 1.8550285339355468, 1.7132791757583619]","[4.613581275939941, 2.0450973987579344, 1.837722945213318, 1.7003180503845214, 1.8414870738983153]","[3.9920125007629395, 2.272068738937378, 1.7881844997406007, 1.729608130455017, 1.6712094783782958]","[4.1713872909545895, 2.0993882179260255, 1.814176821708679, 1.7127086877822877, 1.6737980604171754]","[4.491633749008178, 2.100974273681641, 2.0268895864486693, 1.7355346202850341, 1.7181872367858886]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095,0.0,22.342753648757935,17.402185916900635,16.980780124664307,17.25466752052307,17.088252067565918,0,0,0,0,0,0,0,0,0,0,0.514937162399292,,,0
1,42.946666666666665,32.49333333333333,40.946666666666665,41.626666666666665,33.52,2.038782753944397,2.088533182144165,2.107276272773743,2.080788197517395,2.01052668094635,"[41.333333333333336, 38.0, 46.0, 44.666666666666664, 42.946666666666665]","[25.333333333333336, 26.0, 31.333333333333336, 32.666666666666664, 32.49333333333333]","[26.0, 34.0, 28.666666666666668, 30.666666666666664, 40.946666666666665]","[16.0, 26.666666666666668, 24.666666666666668, 40.666666666666664, 41.626666666666665]","[32.0, 40.666666666666664, 39.33333333333333, 41.333333333333336, 33.52]","[2.9466039896011353, 2.0266090869903564, 1.7998794794082642, 1.767682099342346, 1.6531391143798828]","[3.239101505279541, 2.070830464363098, 1.775098967552185, 1.7052436828613282, 1.652391290664673]","[3.16602246761322, 2.0397175312042237, 1.8087472200393677, 1.8000068187713623, 1.7218873262405396]","[3.4451925277709963, 1.9867733001708985, 1.7294641733169556, 1.6441960334777832, 1.5983149528503418]","[2.772295022010803, 1.9677511215209962, 1.8393619775772094, 1.8239532232284545, 1.6492720603942872]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3403,0.0,15.913418769836426,15.99619174003601,16.136775255203247,15.803682565689087,15.816343069076538,0,0,0,0,0,0,0,0,0,0,0.4233577251434326,,,0
2,40.666666666666664,41.6,40.413333333333334,40.50666666666667,40.346666666666664,1.9330677175521853,1.8644592809677125,1.8655337047576903,1.9324839210510252,1.8435025119781492,"[10.666666666666668, 24.0, 36.0, 24.666666666666668, 40.666666666666664]","[1.3333333333333335, 24.666666666666668, 45.33333333333333, 45.33333333333333, 41.6]","[35.333333333333336, 30.0, 24.666666666666668, 38.0, 40.413333333333334]","[20.0, 28.000000000000004, 40.666666666666664, 42.0, 40.50666666666667]","[24.666666666666668, 34.0, 38.0, 32.0, 40.346666666666664]","[2.4539767503738403, 1.9469970703125, 1.832810401916504, 1.75312180519104, 1.678432559967041]","[2.585389804840088, 1.8312716484069824, 1.6942522764205932, 1.6252634048461914, 1.5861192703247071]","[2.3106066226959228, 1.8991909742355346, 1.781941533088684, 1.7034462213516235, 1.632483172416687]","[2.671069622039795, 1.8791077375411986, 1.7555923223495484, 1.7174346208572389, 1.6392153024673461]","[2.4323974370956423, 1.875839400291443, 1.6787744998931884, 1.610915470123291, 1.6195857524871826]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3434,0.0,16.036341905593872,15.873431921005249,15.726550579071045,15.777867794036865,15.862072706222534,0,0,0,0,0,0,0,0,0,0,0.526597261428833,,,0
3,37.18666666666667,42.986666666666665,45.306666666666665,30.84,47.54666666666667,1.8053284454345704,1.7141671705245973,1.7033331775665281,1.753607096672058,1.714034414291382,"[24.666666666666668, 26.666666666666668, 34.66666666666667, 38.0, 37.18666666666667]","[24.0, 40.666666666666664, 44.0, 30.0, 42.986666666666665]","[34.66666666666667, 44.666666666666664, 42.66666666666667, 42.0, 45.306666666666665]","[15.333333333333332, 39.33333333333333, 44.666666666666664, 46.0, 30.84]","[28.000000000000004, 40.666666666666664, 36.0, 35.333333333333336, 47.54666666666667]","[2.409179759025574, 1.8026714324951172, 1.6729060649871825, 1.585346484184265, 1.5565384864807128]","[2.2226958751678465, 1.710970902442932, 1.636176633834839, 1.4961456775665283, 1.5048467636108398]","[2.306697130203247, 1.6662527322769165, 1.555529236793518, 1.5066044807434082, 1.4815823078155517]","[2.1916362762451174, 1.7792003870010376, 1.6406877040863037, 1.6424215316772461, 1.514089584350586]","[2.216932773590088, 1.739460039138794, 1.634922409057617, 1.5034696340560914, 1.4753872156143188]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4492,0.0,15.928972721099854,15.807191848754883,15.663454294204712,15.777451992034912,15.611199855804443,0,0,0,0,0,0,0,0,0,0,0.4236137866973877,,,0
4,50.57333333333334,29.69333333333333,48.22666666666667,52.16,47.08,1.605602126121521,1.7307532358169557,1.7005214262008668,1.5762802600860595,1.5887383794784546,"[23.333333333333332, 42.66666666666667, 57.333333333333336, 58.666666666666664, 50.57333333333334]","[30.0, 35.333333333333336, 44.666666666666664, 34.66666666666667, 29.69333333333333]","[22.0, 36.666666666666664, 37.333333333333336, 46.0, 48.22666666666667]","[41.333333333333336, 31.333333333333336, 50.66666666666667, 48.0, 52.16]","[30.0, 50.66666666666667, 56.00000000000001, 56.00000000000001, 47.08]","[2.164728379249573, 1.6803818941116333, 1.5169162273406982, 1.390338659286499, 1.2756454706192017]","[2.2892932415008547, 1.7851677894592286, 1.6217461109161377, 1.5657580852508546, 1.3918009519577026]","[2.2898470401763915, 1.7504528045654297, 1.5380130529403686, 1.5242680072784425, 1.400026226043701]","[2.107039976119995, 1.641891646385193, 1.4199909925460816, 1.372217869758606, 1.3402608156204223]","[2.264489245414734, 1.5795165777206421, 1.4952527284622192, 1.3420387983322144, 1.2623945474624634]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5325,0.0,15.657261848449707,15.748378038406372,15.714006662368774,15.621406555175781,15.78239369392395,0,0,0,0,0,0,0,0,0,0,0.42208147048950195,,,0
5,49.62666666666667,58.18666666666667,49.84,57.09333333333333,54.45333333333333,1.4778851556777954,1.4314619779586792,1.3878203439712522,1.4144557094573975,1.430874605178833,"[49.333333333333336, 39.33333333333333, 48.0, 44.0, 49.62666666666667]","[29.333333333333332, 49.333333333333336, 30.666666666666664, 54.666666666666664, 58.18666666666667]","[26.0, 46.666666666666664, 46.0, 44.0, 49.84]","[34.0, 52.0, 53.333333333333336, 63.33333333333333, 57.09333333333333]","[47.333333333333336, 52.666666666666664, 66.0, 56.666666666666664, 54.45333333333333]","[2.323253703117371, 1.4670657873153687, 1.291809368133545, 1.2121370315551758, 1.095159888267517]","[2.115339159965515, 1.425292682647705, 1.2862056016921997, 1.203441572189331, 1.127030873298645]","[2.0563040018081664, 1.4005270719528198, 1.258988356590271, 1.1652925968170167, 1.0579896926879884]","[2.0677252531051638, 1.4502251863479614, 1.2342353105545043, 1.145890474319458, 1.1742023229599]","[2.1227537870407103, 1.4791868686676026, 1.2555619955062867, 1.1567567825317382, 1.1401135921478271]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6059,0.0,15.809166193008423,15.710701704025269,15.709710121154785,15.750236511230469,15.644983530044556,0,0,0,0,0,0,0,0,0,0,0.5250444412231445,,,0
6,63.46666666666667,61.040000000000006,50.68,58.82666666666667,58.720000000000006,1.364687924385071,1.2786133790016172,1.2887251734733582,1.3383115601539612,1.2331241607666015,"[41.333333333333336, 48.66666666666667, 34.0, 56.00000000000001, 63.46666666666667]","[48.0, 40.666666666666664, 49.333333333333336, 49.333333333333336, 61.040000000000006]","[56.666666666666664, 52.666666666666664, 50.0, 56.666666666666664, 50.68]","[33.33333333333333, 53.333333333333336, 51.33333333333333, 56.666666666666664, 58.82666666666667]","[23.333333333333332, 57.333333333333336, 63.33333333333333, 62.66666666666667, 58.720000000000006]","[2.022309684753418, 1.5020943641662599, 1.1626678705215454, 1.0903876543045044, 1.0459800481796264]","[1.9859623908996582, 1.2911569833755494, 1.1149924516677856, 1.065252947807312, 0.935702121257782]","[1.9060528516769408, 1.3207846403121948, 1.18152916431427, 1.0737102150917053, 0.9615489959716796]","[2.0502418279647827, 1.3344095706939698, 1.187983226776123, 1.122044599056244, 0.9968785762786865]","[2.0441874742507933, 1.2005571365356444, 1.1052903413772583, 0.9580102801322937, 0.8575755715370178]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.0,15.98102855682373,16.07211399078369,15.872487545013428,15.828802585601807,15.594194173812866,0,0,0,0,0,0,0,0,0,0,0.512951135635376,,,0
7,63.04,60.519999999999996,64.73333333333333,61.18666666666667,53.97333333333333,1.1208448314666748,1.1532145857810974,1.1251726627349854,1.1546228098869324,1.1416206359863281,"[14.666666666666666, 50.66666666666667, 62.0, 59.333333333333336, 63.04]","[46.0, 57.99999999999999, 64.66666666666666, 69.33333333333334, 60.519999999999996]","[58.666666666666664, 68.0, 61.33333333333333, 59.333333333333336, 64.73333333333333]","[52.666666666666664, 42.66666666666667, 57.333333333333336, 60.66666666666667, 61.18666666666667]","[57.333333333333336, 69.33333333333334, 69.33333333333334, 54.0, 53.97333333333333]","[1.7836073637008667, 1.2016952991485597, 0.9548503875732421, 0.8705451607704162, 0.7935259461402893]","[1.7094356060028075, 1.1711966753005982, 1.035584843158722, 0.9754693627357482, 0.874386441707611]","[1.709590983390808, 1.1935293674468994, 0.9815738677978516, 0.8947800397872925, 0.8463890552520752]","[1.7573080778121948, 1.2039129734039307, 1.013269317150116, 0.9755430221557617, 0.8230806589126587]","[1.7693001985549928, 1.1892393827438354, 0.953569757938385, 0.9103047728538514, 0.8856890678405762]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6413,0.0,15.776746988296509,15.968515396118164,15.974337577819824,15.982769250869751,16.297504663467407,0,0,0,0,0,0,0,0,0,0,0.4101903438568115,,,0
8,54.16,61.093333333333334,65.16,57.18666666666666,62.21333333333333,0.9957472729682924,1.0377576136589048,1.017083294391632,1.008197021484375,0.9738749718666077,"[63.33333333333333, 66.66666666666666, 62.0, 65.33333333333333, 54.16]","[49.333333333333336, 66.0, 76.0, 67.33333333333333, 61.093333333333334]","[62.66666666666667, 66.0, 64.66666666666666, 66.0, 65.16]","[52.0, 59.333333333333336, 60.66666666666667, 60.0, 57.18666666666666]","[57.333333333333336, 62.66666666666667, 62.66666666666667, 64.66666666666666, 62.21333333333333]","[1.685074257850647, 0.9991208076477051, 0.853972601890564, 0.7510917663574219, 0.6894769310951233]","[1.6414882302284242, 1.0673658490180968, 0.9469164967536926, 0.8165693283081055, 0.716448163986206]","[1.6300846934318542, 1.0330711483955384, 0.914959716796875, 0.8185787916183471, 0.6887221217155457]","[1.639306890964508, 0.997442901134491, 0.8776164650917053, 0.7750615119934082, 0.7515573382377625]","[1.7121447920799255, 0.9613262295722962, 0.8122316002845764, 0.7292719841003418, 0.6544002532958985]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6575,0.0,16.068384647369385,16.146053791046143,16.101386308670044,16.06353497505188,15.989511966705322,0,0,0,0,0,0,0,0,0,0,0.4124720096588135,,,0
9,64.52,51.65333333333333,67.72,64.56,62.50666666666667,0.8820146560668946,0.9096341514587403,0.8839490199089053,0.9032031989097596,0.8664564323425294,"[44.666666666666664, 64.66666666666666, 65.33333333333333, 65.33333333333333, 64.52]","[58.666666666666664, 66.66666666666666, 68.66666666666667, 68.0, 51.65333333333333]","[49.333333333333336, 62.0, 63.33333333333333, 59.333333333333336, 67.72]","[47.333333333333336, 45.33333333333333, 60.0, 62.66666666666667, 64.56]","[66.0, 59.333333333333336, 65.33333333333333, 72.0, 62.50666666666667]","[1.4763259768486023, 0.9419577240943908, 0.7507339954376221, 0.6410300970077515, 0.6000254869461059]","[1.4570624589920045, 0.9719862818717957, 0.7961279392242432, 0.6997371315956116, 0.6232569456100464]","[1.3941517233848573, 0.9848675608634949, 0.7377969741821289, 0.6532681345939636, 0.6496607065200806]","[1.3784070491790772, 0.9187860131263733, 0.8345237493515014, 0.7896331071853637, 0.5946660757064819]","[1.4192705154418945, 0.9217864990234375, 0.7299613714218139, 0.6411900281906128, 0.6200737476348877]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,0.0,15.816868782043457,15.581801891326904,15.807621717453003,15.910749197006226,16.007557153701782,0,0,0,0,0,0,0,0,0,0,0.5137791633605957,,,0
