,client_accuracy_3,client_accuracy_0,client_accuracy_4,client_accuracy_1,client_accuracy_2,client_loss_3,client_loss_0,client_loss_4,client_loss_1,client_loss_2,client_accuracy_per_epoch3,client_accuracy_per_epoch0,client_accuracy_per_epoch4,client_accuracy_per_epoch1,client_accuracy_per_epoch2,client_loss_per_epoch3,client_loss_per_epoch0,client_loss_per_epoch4,client_loss_per_epoch1,client_loss_per_epoch2,client_attack_3,client_attack_0,client_attack_4,client_attack_1,client_attack_2,client_auc_3,client_auc_0,client_auc_4,client_auc_1,client_auc_2,server_attack,server_accuracy,server_auc,client_round_duration_3,client_round_duration_0,client_round_duration_4,client_round_duration_1,client_round_duration_2,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,17.093629562457494,9.680344593062799,19.394695080480616,13.591022443890274,17.286329630469282,3.656655685106913,3.6294905821482337,3.584744429588318,3.579545553525289,3.512146806716919,"[8.47457627118644, 1.694915254237288, 7.344632768361582, 15.254237288135593, 17.093629562457494]","[4.519774011299435, 3.389830508474576, 5.649717514124294, 3.389830508474576, 9.680344593062799]","[5.649717514124294, 8.47457627118644, 6.779661016949152, 13.559322033898304, 19.394695080480616]","[3.389830508474576, 2.824858757062147, 3.954802259887006, 6.779661016949152, 13.591022443890274]","[8.47457627118644, 6.214689265536723, 10.16949152542373, 8.47457627118644, 17.286329630469282]","[4.487730105717977, 3.955031077067057, 3.6179544925689697, 3.244367241859436, 2.9781955083211265]","[4.467033465703328, 3.9709941943486533, 3.5454760789871216, 3.207998434702555, 2.9559507369995117]","[4.401330629984538, 3.8582628965377808, 3.5928337574005127, 3.1983262300491333, 2.872968633969625]","[4.385333061218262, 3.9101972182591758, 3.561083753903707, 3.2204856872558594, 2.820628046989441]","[4.408693710962932, 3.79728364944458, 3.4446534713109336, 3.1038975715637207, 2.806205630302429]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10252486610558531,0.0,15.093032360076904,15.497910499572754,15.404603004455566,15.44889497756958,15.559544801712036,0,0,0,0,0,0,0,0,0,0,0.041296958923339844,,,0
1,50.600770800272045,44.207662661528,48.753117206982544,48.42439356155067,50.49875311720699,2.474202024936676,2.5023831129074097,2.3353196501731874,2.3683838764826453,2.317800899346669,"[20.33898305084746, 35.02824858757062, 37.85310734463277, 50.847457627118644, 50.600770800272045]","[16.38418079096045, 17.51412429378531, 31.63841807909605, 32.7683615819209, 44.207662661528]","[15.819209039548024, 31.07344632768362, 35.02824858757062, 48.58757062146893, 48.753117206982544]","[12.994350282485875, 25.423728813559322, 29.37853107344633, 35.02824858757062, 48.42439356155067]","[27.11864406779661, 27.683615819209038, 44.06779661016949, 46.32768361581921, 50.49875311720699]","[3.1574670871098838, 2.6685390869776406, 2.4242621660232544, 2.2145232359568277, 1.9062185486157734]","[3.0361189444859824, 2.7436293760935464, 2.511228005091349, 2.2549434502919516, 1.9659957885742188]","[2.9557842016220093, 2.633575717608134, 2.333043654759725, 2.0034687717755637, 1.7507259051005046]","[3.077245036760966, 2.6438321669896445, 2.3209245602289834, 1.9900342623392742, 1.8098833560943604]","[2.9357602993647256, 2.543822089831034, 2.2478903929392495, 2.0400335788726807, 1.8214981357256572]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3249171129813823,0.0,15.584959268569946,15.347060441970825,15.483816623687744,15.279242515563965,15.58641266822815,0,0,0,0,0,0,0,0,0,0,0.04341840744018555,,,0
2,63.092269326683294,64.98526411244616,65.03060530491952,66.16413511675357,62.049421899795966,1.8496968587239582,1.6874188582102458,1.5720898350079855,1.462180737654368,1.7617083549499513,"[50.282485875706215, 59.32203389830508, 60.451977401129945, 67.79661016949152, 63.092269326683294]","[44.632768361581924, 50.847457627118644, 56.49717514124294, 53.672316384180796, 64.98526411244616]","[45.19774011299435, 55.367231638418076, 59.887005649717516, 61.016949152542374, 65.03060530491952]","[31.63841807909605, 51.9774011299435, 53.10734463276836, 63.84180790960452, 66.16413511675357]","[49.152542372881356, 49.717514124293785, 61.5819209039548, 66.66666666666666, 62.049421899795966]","[2.385289192199707, 2.024017075697581, 1.819114089012146, 1.6087311903635662, 1.4113327463467915]","[2.2204508781433105, 1.8660481373469036, 1.6120206316312153, 1.455848217010498, 1.2827264269193013]","[2.042353014151255, 1.7470427354176838, 1.565470039844513, 1.3402451276779175, 1.1653382579485576]","[1.8579211036364238, 1.614705483118693, 1.4254377285639446, 1.2553183436393738, 1.1575210293134053]","[2.2054828802744546, 1.9121708273887634, 1.744202693303426, 1.5560580889383953, 1.3906272848447163]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4440193828105075,0.0,15.357155561447144,15.187868356704712,15.466340065002441,15.500925064086914,15.424777507781982,0,0,0,0,0,0,0,0,0,0,0.04275870323181152,,,0
3,78.71231013375652,71.91113126275222,75.6857855361596,70.51688959419633,80.29925187032418,1.282410705089569,1.3014652649561564,1.2297949294249215,0.866007329026858,1.0656797230243682,"[63.2768361581921, 68.92655367231639, 79.09604519774011, 77.96610169491525, 78.71231013375652]","[59.32203389830508, 55.932203389830505, 66.66666666666666, 70.62146892655367, 71.91113126275222]","[53.672316384180796, 67.2316384180791, 65.5367231638418, 71.1864406779661, 75.6857855361596]","[54.80225988700565, 65.5367231638418, 66.10169491525424, 68.36158192090396, 70.51688959419633]","[62.14689265536724, 71.75141242937853, 75.70621468926554, 81.92090395480226, 80.29925187032418]","[1.7706612547238667, 1.5145002802213032, 1.1902057826519012, 1.0444760024547577, 0.8922102053960165]","[1.6788372993469238, 1.4881720940272014, 1.3026351531346638, 1.0815610786279042, 0.9561206996440887]","[1.5962464809417725, 1.393283724784851, 1.237783153851827, 1.0363900363445282, 0.8852712512016296]","[1.1696064968903859, 0.9755923748016357, 0.8622631827990214, 0.6878670652707418, 0.6347075253725052]","[1.5691093802452087, 1.1851525505383809, 1.0226567288239796, 0.8614656527837118, 0.6900143027305603]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41469013006885996,0.0,15.75770902633667,15.588023900985718,15.603244066238403,15.669142246246338,15.056137084960938,0,0,0,0,0,0,0,0,0,0,0.04478335380554199,,,0
4,81.71616413511676,86.47698934481977,84.43663568351847,80.57129902516436,83.14441169802765,1.0087431172529855,0.775991079211235,0.8110779583454132,0.8663558741410574,0.7831547329823176,"[67.79661016949152, 76.8361581920904, 78.53107344632768, 79.66101694915254, 81.71616413511676]","[65.5367231638418, 76.27118644067797, 80.22598870056498, 81.92090395480226, 86.47698934481977]","[67.79661016949152, 68.36158192090396, 77.40112994350282, 79.09604519774011, 84.43663568351847]","[70.62146892655367, 73.44632768361582, 73.44632768361582, 77.96610169491525, 80.57129902516436]","[79.09604519774011, 80.7909604519774, 80.22598870056498, 77.96610169491525, 83.14441169802765]","[1.4219550291697185, 1.0953069825967152, 0.9473706384499868, 0.8431065181891123, 0.7359764178593954]","[1.1274935603141785, 0.872279942035675, 0.7249915500481924, 0.6210253536701202, 0.5341649899880091]","[1.121345728635788, 0.9541407724221548, 0.7630020678043365, 0.6470438738663992, 0.5698573489983877]","[1.279881517092387, 1.0183791915575664, 0.7971881926059723, 0.6529679795106252, 0.583362489938736]","[1.1763741075992584, 0.8914820452531179, 0.7112109859784445, 0.5974475145339966, 0.5392590115467707]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44019382810507524,0.0,15.26437497138977,15.581079959869385,15.437998056411743,15.480932235717773,15.501442670822144,0,0,0,0,0,0,0,0,0,0,0.0433807373046875,,,0
5,89.53751983677171,87.59918385853548,87.30446610745862,87.56517796418046,83.30310587168442,0.5387686630090077,0.5799656778573989,0.5700717836618423,0.46986570308605835,0.5592121958732605,"[81.92090395480226, 85.87570621468926, 82.48587570621469, 87.00564971751412, 89.53751983677171]","[79.66101694915254, 79.66101694915254, 84.18079096045197, 82.48587570621469, 87.59918385853548]","[65.5367231638418, 82.48587570621469, 79.09604519774011, 86.4406779661017, 87.30446610745862]","[80.22598870056498, 86.4406779661017, 79.66101694915254, 89.26553672316385, 87.56517796418046]","[68.92655367231639, 82.48587570621469, 81.35593220338984, 84.7457627118644, 83.30310587168442]","[0.789062480131785, 0.6091986497243246, 0.5228985945383707, 0.431537722547849, 0.34114586810270947]","[0.8012059430281321, 0.682865689198176, 0.5858010898033778, 0.4421746681133906, 0.38778099914391834]","[0.8062985936800638, 0.6901016533374786, 0.5335995902617773, 0.4738212178150813, 0.34653786321481067]","[0.7263938387235006, 0.5278042852878571, 0.45353927711645764, 0.34198692937692005, 0.2996041849255562]","[0.8221193353335062, 0.6738943060239156, 0.5385372440020243, 0.43222471078236896, 0.3292853832244873]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46442234123947973,0.0,15.669231414794922,15.852141857147217,15.522869110107422,15.472466707229614,15.578187942504883,0,0,0,0,0,0,0,0,0,0,0.04304361343383789,,,0
6,91.61187939242802,85.84221265019269,87.45182498299705,90.3763318975289,89.32214917252324,0.28388090083996453,0.3524147232373555,0.3432596648732821,0.3179790213704109,0.2838695988059044,"[85.87570621468926, 91.52542372881356, 90.3954802259887, 92.65536723163842, 91.61187939242802]","[74.01129943502825, 82.48587570621469, 83.61581920903954, 87.00564971751412, 85.84221265019269]","[76.8361581920904, 87.00564971751412, 93.22033898305084, 90.96045197740112, 87.45182498299705]","[74.57627118644068, 83.61581920903954, 85.31073446327684, 83.05084745762711, 90.3763318975289]","[83.61581920903954, 85.87570621468926, 88.70056497175142, 91.52542372881356, 89.32214917252324]","[0.41795093317826587, 0.3540589263041814, 0.2891906127333641, 0.1940170923868815, 0.16418693959712982]","[0.5023789455493292, 0.4347015867630641, 0.30139680703481037, 0.29042886197566986, 0.23316741486390433]","[0.5400705337524414, 0.37767859796682995, 0.3234398861726125, 0.25886623561382294, 0.2162430708607038]","[0.5188639461994171, 0.39055192470550537, 0.26506423701842624, 0.2470046579837799, 0.16841034094492593]","[0.4005607068538666, 0.34744327267011005, 0.24498958140611649, 0.24734580516815186, 0.17900862793127695]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4656975261412905,0.0,15.228306531906128,15.308626890182495,15.616836786270142,15.458597183227539,15.272586822509766,0,0,0,0,0,0,0,0,0,0,0.042765140533447266,,,0
7,93.65223305372932,89.87757878032193,91.19247336204943,92.22398549081841,91.30582634323284,0.2621881191929182,0.4007895802458127,0.27123218700289725,0.4012827600042025,0.25721094359954194,"[93.22033898305084, 89.83050847457628, 93.78531073446328, 92.65536723163842, 93.65223305372932]","[69.49152542372882, 77.40112994350282, 79.66101694915254, 85.87570621468926, 89.87757878032193]","[82.48587570621469, 84.18079096045197, 88.13559322033898, 94.35028248587571, 91.19247336204943]","[79.66101694915254, 87.00564971751412, 84.7457627118644, 89.26553672316385, 92.22398549081841]","[90.96045197740112, 88.13559322033898, 90.3954802259887, 92.09039548022598, 91.30582634323284]","[0.4307969609896342, 0.29990559816360474, 0.24922063946723938, 0.19550822178522745, 0.13550917555888495]","[0.6086785147587458, 0.4970711221297582, 0.40359799067179364, 0.27847762157519657, 0.21612265209356943]","[0.3989776174227397, 0.3553277552127838, 0.2509909396370252, 0.19576387107372284, 0.1551007516682148]","[0.6347779631614685, 0.47953087588151294, 0.35945045948028564, 0.2947835475206375, 0.237870953977108]","[0.3918537696202596, 0.32844269772370654, 0.24038385848204294, 0.18064410239458084, 0.14473028977711996]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47666411629686306,0.0,15.53081226348877,14.938626527786255,15.10172724723816,15.088029384613037,15.130877256393433,0,0,0,0,0,0,0,0,0,0,0.047049760818481445,,,0
8,92.51870324189527,94.60439809566992,93.49353888007255,91.23781455452279,94.02629789163454,0.2782980889081955,0.20356950238347055,0.24464046830932298,0.23045504043499626,0.13307814026872317,"[83.61581920903954, 85.87570621468926, 92.65536723163842, 91.52542372881356, 92.51870324189527]","[88.13559322033898, 92.09039548022598, 90.96045197740112, 90.96045197740112, 94.60439809566992]","[75.70621468926554, 82.48587570621469, 95.48022598870057, 93.78531073446328, 93.49353888007255]","[86.4406779661017, 83.61581920903954, 94.35028248587571, 93.78531073446328, 91.23781455452279]","[89.83050847457628, 93.78531073446328, 93.78531073446328, 94.91525423728814, 94.02629789163454]","[0.45337942739327747, 0.3162517895301183, 0.27918807168801624, 0.19459892809391022, 0.1480722278356552]","[0.35101871689160663, 0.23451119909683862, 0.18109843755761781, 0.14471153418223062, 0.10650762418905894]","[0.42480968435605365, 0.29948774725198746, 0.2160507912437121, 0.1586969072620074, 0.12415721143285434]","[0.3672301173210144, 0.2787137528260549, 0.2097111170490583, 0.1591559424996376, 0.13746427247921625]","[0.19581308960914612, 0.17113540321588516, 0.11793368806441624, 0.10511496663093567, 0.07539355382323265]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47003315480744706,0.0,15.304612874984741,15.024528741836548,15.407116889953613,15.089026689529419,15.081719160079956,0,0,0,0,0,0,0,0,0,0,0.04279637336730957,,,0
9,94.0376331897529,94.4343686238948,94.00362729539788,94.45703922013149,94.77442756744502,0.1653722433994214,0.2020437277853489,0.1829763874411583,0.12276551636556783,0.1692855844895045,"[84.7457627118644, 90.3954802259887, 92.65536723163842, 93.78531073446328, 94.0376331897529]","[72.88135593220339, 82.48587570621469, 92.09039548022598, 90.3954802259887, 94.4343686238948]","[91.52542372881356, 90.96045197740112, 92.65536723163842, 93.22033898305084, 94.00362729539788]","[85.87570621468926, 92.09039548022598, 88.13559322033898, 94.91525423728814, 94.45703922013149]","[84.18079096045197, 92.65536723163842, 96.045197740113, 94.91525423728814, 94.77442756744502]","[0.27495480328798294, 0.20690523584683737, 0.13974696025252342, 0.11800532415509224, 0.0872488934546709]","[0.3292638485630353, 0.24677337457736334, 0.1792340651154518, 0.14287930354475975, 0.11206804712613423]","[0.3396056840817134, 0.2061584455271562, 0.16184010480841002, 0.114133736739556, 0.09314396604895592]","[0.19325638562440872, 0.15616346771518388, 0.11029513676961263, 0.08806442531446616, 0.06604816640416782]","[0.28781073664625484, 0.21975370248158774, 0.14799349134167036, 0.11571279913187027, 0.07515719284613927]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4876307064524356,0.0,14.95938229560852,15.063976287841797,15.085297584533691,15.240031719207764,15.133168697357178,0,0,0,0,0,0,0,0,0,0,0.043108463287353516,,,0
