,client_accuracy_0,client_attack_0,server_attack,client_auc_0,server_auc
0,37.92,0.0,0.0,0.0,0.0
1,49.36,0.0,0.0,0.0,0.0
2,52.48,0.0,0.0,0.0,0.0
3,56.88,0.0,0.0,0.0,0.0
4,58.56,0.0,0.0,0.0,0.0
5,58.88,0.0,0.0,0.0,0.0
6,62.4,0.0,0.0,0.0,0.0
7,65.36,0.0,0.0,0.0,0.0
8,56.720000000000006,0.0,0.0,0.0,0.0
9,64.08,0.0,0.0,0.0,0.0
10,61.12,0.0,0.0,0.0,0.0
11,65.44,0.0,0.0,0.0,0.0
12,66.56,0.0,0.0,0.0,0.0
13,61.760000000000005,0.0,0.0,0.0,0.0
14,59.12,0.0,0.0,0.0,0.0
15,60.72,0.0,0.0,0.0,0.0
16,64.88000000000001,0.0,0.0,0.0,0.0
17,66.8,0.0,0.0,0.0,0.0
18,60.31999999999999,0.0,0.0,0.0,0.0
19,65.68,0.0,0.0,0.0,0.0
20,65.52,0.0,0.0,0.0,0.0
21,63.2,0.0,0.0,0.0,0.0
22,67.75999999999999,0.0,0.0,0.0,0.0
23,69.52000000000001,0.0,0.0,0.0,0.0
24,64.8,0.0,0.0,0.0,0.0
25,68.0,0.0,0.0,0.0,0.0
26,68.72,0.0,0.0,0.0,0.0
27,63.28,0.0,0.0,0.0,0.0
28,64.96,0.0,0.0,0.0,0.0
29,66.72,0.0,0.0,0.0,0.0
30,66.88,0.0,0.0,0.0,0.0
31,69.76,0.0,0.0,0.0,0.0
32,66.16,0.0,0.0,0.0,0.0
33,66.96,0.0,0.0,0.0,0.0
34,60.56,0.0,0.0,0.0,0.0
35,67.28,0.0,0.0,0.0,0.0
36,67.44,0.0,0.0,0.0,0.0
37,66.96,0.0,0.0,0.0,0.0
38,64.72,0.0,0.0,0.0,0.0
39,67.75999999999999,0.0,0.0,0.0,0.0
40,62.56,0.0,0.0,0.0,0.0
41,67.04,0.0,0.0,0.0,0.0
42,63.84,0.0,0.0,0.0,0.0
43,66.08000000000001,0.0,0.0,0.0,0.0
44,65.92,0.0,0.0,0.0,0.0
45,68.0,0.0,0.0,0.0,0.0
46,67.67999999999999,0.0,0.0,0.0,0.0
47,65.03999999999999,0.0,0.0,0.0,0.0
48,65.28,0.0,0.0,0.0,0.0
49,62.88,0.0,0.0,0.0,0.0
50,64.88000000000001,0.0,0.0,0.0,0.0
51,64.96,0.0,0.0,0.0,0.0
52,69.92,0.0,0.0,0.0,0.0
53,63.04,0.0,0.0,0.0,0.0
54,68.72,0.0,0.0,0.0,0.0
55,68.24,0.0,0.0,0.0,0.0
56,66.8,0.0,0.0,0.0,0.0
57,67.44,0.0,0.0,0.0,0.0
58,65.60000000000001,0.0,0.0,0.0,0.0
59,67.36,0.0,0.0,0.0,0.0
60,68.32000000000001,69.1,66.4,69.1,66.4
61,67.2,69.1,66.4,69.1,66.4
62,62.8,69.1,66.4,69.1,66.4
63,67.36,69.1,66.4,69.1,66.4
64,66.08000000000001,69.1,66.4,69.1,66.4
65,68.24,69.1,66.4,69.1,66.4
66,68.32000000000001,69.1,66.4,69.1,66.4
67,65.84,69.1,66.4,69.1,66.4
68,67.36,69.1,66.4,69.1,66.4
69,68.72,69.1,66.4,69.1,66.4
70,67.12,69.1,66.4,69.1,66.4
71,67.28,69.1,66.4,69.1,66.4
72,67.60000000000001,69.1,66.4,69.1,66.4
73,64.96,69.1,66.4,69.1,66.4
74,65.92,69.1,66.4,69.1,66.4
75,68.64,69.1,66.4,69.1,66.4
76,66.64,69.1,66.4,69.1,66.4
77,67.36,69.1,66.4,69.1,66.4
78,66.24,69.1,66.4,69.1,66.4
79,68.47999999999999,69.1,66.4,69.1,66.4
80,66.47999999999999,69.1,66.4,69.1,66.4
81,69.12,69.1,66.4,69.1,66.4
82,63.2,69.1,66.4,69.1,66.4
83,64.32,69.1,66.4,69.1,66.4
84,64.8,69.1,66.4,69.1,66.4
85,68.47999999999999,69.1,66.4,69.1,66.4
86,63.6,69.1,66.4,69.1,66.4
87,68.4,69.1,66.4,69.1,66.4
88,65.92,69.1,66.4,69.1,66.4
89,67.12,69.1,66.4,69.1,66.4
90,66.8,69.1,66.4,69.1,66.4
91,64.8,69.1,66.4,69.1,66.4
92,66.56,69.1,66.4,69.1,66.4
93,64.48,69.1,66.4,69.1,66.4
94,65.84,69.1,66.4,69.1,66.4
95,64.88000000000001,69.1,66.4,69.1,66.4
96,67.92,69.1,66.4,69.1,66.4
97,68.72,69.1,66.4,69.1,66.4
98,69.12,69.1,66.4,69.1,66.4
99,67.67999999999999,69.1,66.4,69.1,66.4
