,client_accuracy_0,client_attack_0,server_attack,client_auc_0,server_auc
0,9.08,0.0,0.0,0.0,0.0
1,30.38,0.0,0.0,0.0,0.0
2,40.01,0.0,0.0,0.0,0.0
3,44.79,0.0,0.0,0.0,0.0
4,48.92,0.0,0.0,0.0,0.0
5,51.6,0.0,0.0,0.0,0.0
6,54.1,0.0,0.0,0.0,0.0
7,55.98,0.0,0.0,0.0,0.0
8,57.27,0.0,0.0,0.0,0.0
9,58.58,0.0,0.0,0.0,0.0
10,59.36,0.0,0.0,0.0,0.0
11,60.27,0.0,0.0,0.0,0.0
12,61.03,0.0,0.0,0.0,0.0
13,61.71,0.0,0.0,0.0,0.0
14,62.33,0.0,0.0,0.0,0.0
15,62.74,0.0,0.0,0.0,0.0
16,63.16,0.0,0.0,0.0,0.0
17,63.44,0.0,0.0,0.0,0.0
18,63.58,0.0,0.0,0.0,0.0
19,63.77,0.0,0.0,0.0,0.0
20,64.06,0.0,0.0,0.0,0.0
21,64.23,0.0,0.0,0.0,0.0
22,64.48,0.0,0.0,0.0,0.0
23,64.72,0.0,0.0,0.0,0.0
24,64.95,0.0,0.0,0.0,0.0
25,65.03,0.0,0.0,0.0,0.0
26,65.08,0.0,0.0,0.0,0.0
27,65.2,0.0,0.0,0.0,0.0
28,65.28,0.0,0.0,0.0,0.0
29,65.35,0.0,0.0,0.0,0.0
30,65.47,0.0,0.0,0.0,0.0
31,65.59,0.0,0.0,0.0,0.0
32,65.64,0.0,0.0,0.0,0.0
33,65.76,0.0,0.0,0.0,0.0
34,65.91,0.0,0.0,0.0,0.0
35,66.04,0.0,0.0,0.0,0.0
36,66.18,0.0,0.0,0.0,0.0
37,66.21,0.0,0.0,0.0,0.0
38,66.27,0.0,0.0,0.0,0.0
39,66.404,0.0,0.0,0.0,0.0
40,66.498,0.0,0.0,0.0,0.0
41,66.54,0.0,0.0,0.0,0.0
42,66.59,0.0,0.0,0.0,0.0
43,66.62,0.0,0.0,0.0,0.0
44,66.73,0.0,0.0,0.0,0.0
45,66.82,0.0,0.0,0.0,0.0
46,66.9,0.0,0.0,0.0,0.0
47,66.93,0.0,0.0,0.0,0.0
48,67.01,0.0,0.0,0.0,0.0
49,67.04,0.0,0.0,0.0,0.0
50,67.08,0.0,0.0,0.0,0.0
51,67.14,0.0,0.0,0.0,0.0
52,67.16,0.0,0.0,0.0,0.0
53,67.22,0.0,0.0,0.0,0.0
54,67.28,0.0,0.0,0.0,0.0
55,67.37,0.0,0.0,0.0,0.0
56,67.42,0.0,0.0,0.0,0.0
57,67.49,0.0,0.0,0.0,0.0
58,67.56,0.0,0.0,0.0,0.0
59,67.57,0.0,0.0,0.0,0.0
60,67.6,71.35,69.97,71.35,69.97
61,67.64,71.35,69.97,71.35,69.97
62,67.68,71.35,69.97,71.35,69.97
63,67.66,71.35,69.97,71.35,69.97
64,67.72,71.35,69.97,71.35,69.97
65,67.8,71.35,69.97,71.35,69.97
66,67.75,71.35,69.97,71.35,69.97
67,67.77,71.35,69.97,71.35,69.97
68,67.82,71.35,69.97,71.35,69.97
69,67.87,71.35,69.97,71.35,69.97
70,67.92,71.35,69.97,71.35,69.97
71,67.95,71.35,69.97,71.35,69.97
72,67.97,71.35,69.97,71.35,69.97
73,68.02,71.35,69.97,71.35,69.97
74,68.03,71.35,69.97,71.35,69.97
75,68.07,71.35,69.97,71.35,69.97
76,68.08,71.35,69.97,71.35,69.97
77,68.13,71.35,69.97,71.35,69.97
78,68.17,71.35,69.97,71.35,69.97
79,68.2,71.35,69.97,71.35,69.97
80,69.2,71.35,69.97,71.35,69.97
81,69.8,71.35,69.97,71.35,69.97
82,70.2,71.35,69.97,71.35,69.97
83,71.6,71.35,69.97,71.35,69.97
84,71.9,71.35,69.97,71.35,69.97
85,72.3,71.35,69.97,71.35,69.97
86,72.84,71.35,69.97,71.35,69.97
87,71.14,71.35,69.97,71.35,69.97
88,70.72,71.35,69.97,71.35,69.97
89,70.99,71.35,69.97,71.35,69.97
90,71.44,71.35,69.97,71.35,69.97
91,71.56,71.35,69.97,71.35,69.97
92,71.70857142857143,71.35,69.97,71.35,69.97
93,71.58500000000001,71.35,69.97,71.35,69.97
94,71.67111111111112,71.35,69.97,71.35,69.97
95,71.504,71.35,69.97,71.35,69.97
96,71.50909090909092,71.35,69.97,71.35,69.97
97,71.21000000000001,71.35,69.97,71.35,69.97
98,71.04615384615386,71.35,69.97,71.35,69.97
99,71.1725,71.35,69.97,71.35,69.97
